employee_id,exit_date,reason,type
EMP04580,2023-10-24,Career Change,Voluntary
EMP08358,2024-07-24,Relocation,Voluntary
EMP03356,2024-06-28,Performance,Voluntary
EMP09989,2026-05-01,Performance,Voluntary
EMP08329,2026-04-04,Career Change,Voluntary
EMP09720,2023-09-14,Better Offer,Voluntary
EMP01219,2026-01-12,Better Offer,Voluntary
EMP07173,2023-11-13,Career Change,Voluntary
EMP05879,2024-04-02,Personal,Voluntary
EMP04416,2025-08-30,Personal,Involuntary
EMP07291,2026-06-04,Performance,Voluntary
EMP05926,2025-04-22,Career Change,Involuntary
EMP05601,2026-05-31,Relocation,Voluntary
EMP05725,2023-11-12,Personal,Voluntary
EMP01093,2024-02-24,Better Offer,Voluntary
EMP06438,2025-03-11,Relocation,Voluntary
EMP08955,2024-04-17,Performance,Voluntary
EMP08884,2024-02-02,Performance,Voluntary
EMP04397,2026-03-29,Performance,Voluntary
EMP09139,2026-02-05,Better Offer,Voluntary
EMP04708,2025-07-26,Career Change,Voluntary
EMP03498,2026-05-14,Better Offer,Involuntary
EMP03183,2025-10-03,Relocation,Voluntary
EMP01584,2024-12-18,Better Offer,Involuntary
EMP04345,2024-02-13,Personal,Voluntary
EMP01439,2024-10-11,Performance,Voluntary
EMP00950,2025-11-06,Personal,Voluntary
EMP05614,2023-09-05,Performance,Involuntary
EMP07568,2024-02-29,Career Change,Voluntary
EMP07671,2024-02-14,Performance,Voluntary
EMP05854,2025-03-09,Personal,Involuntary
EMP03229,2024-08-28,Personal,Voluntary
EMP08532,2025-03-04,Relocation,Voluntary
EMP03836,2023-10-06,Career Change,Voluntary
EMP02353,2024-01-23,Personal,Involuntary
EMP06619,2025-11-08,Relocation,Voluntary
EMP00554,2026-02-14,Personal,Voluntary
EMP05566,2026-06-20,Relocation,Voluntary
EMP03676,2024-08-05,Relocation,Voluntary
EMP06560,2024-12-06,Personal,Voluntary
EMP01077,2025-02-19,Career Change,Voluntary
EMP04155,2024-11-04,Career Change,Voluntary
EMP04698,2025-03-06,Better Offer,Voluntary
EMP02040,2026-07-20,Career Change,Involuntary
EMP03640,2024-09-29,Performance,Involuntary
EMP04480,2025-02-19,Better Offer,Voluntary
EMP00047,2026-01-10,Career Change,Voluntary
EMP08875,2025-06-21,Personal,Involuntary
EMP02374,2024-03-19,Career Change,Voluntary
EMP03036,2024-12-31,Career Change,Voluntary
EMP00375,2024-12-05,Relocation,Involuntary
EMP01472,2024-03-07,Performance,Voluntary
EMP07621,2026-01-21,Relocation,Voluntary
EMP01951,2025-09-14,Relocation,Voluntary
EMP00652,2026-02-06,Better Offer,Voluntary
EMP00343,2024-01-08,Career Change,Voluntary
EMP02071,2026-01-01,Better Offer,Involuntary
EMP09558,2026-02-02,Personal,Involuntary
EMP05565,2025-06-11,Career Change,Voluntary
EMP01582,2024-03-06,Career Change,Voluntary
EMP00144,2025-12-04,Career Change,Voluntary
EMP09137,2023-11-01,Career Change,Voluntary
EMP04666,2024-03-20,Personal,Voluntary
EMP09751,2023-12-21,Career Change,Involuntary
EMP09708,2026-04-22,Personal,Voluntary
EMP07211,2025-01-28,Relocation,Voluntary
EMP07344,2024-02-10,Personal,Voluntary
EMP03670,2023-10-26,Performance,Voluntary
EMP08339,2025-04-09,Performance,Voluntary
EMP04047,2024-02-01,Personal,Involuntary
EMP06338,2024-09-03,Career Change,Voluntary
EMP05731,2024-03-30,Better Offer,Voluntary
EMP08853,2026-02-01,Performance,Voluntary
EMP09316,2024-02-01,Relocation,Voluntary
EMP05452,2023-12-11,Personal,Voluntary
EMP02037,2024-05-07,Relocation,Involuntary
EMP04113,2023-08-09,Better Offer,Voluntary
EMP06855,2023-08-11,Relocation,Voluntary
EMP06729,2026-01-01,Performance,Voluntary
EMP06818,2023-08-07,Personal,Voluntary
EMP02539,2025-06-26,Performance,Voluntary
EMP03320,2026-04-30,Performance,Involuntary
EMP05693,2024-05-17,Performance,Voluntary
EMP05923,2024-06-14,Performance,Involuntary
EMP09631,2025-01-06,Relocation,Voluntary
EMP06671,2024-11-22,Personal,Voluntary
EMP00657,2025-04-22,Better Offer,Involuntary
EMP03477,2026-07-17,Personal,Voluntary
EMP01264,2024-06-28,Career Change,Voluntary
EMP04393,2025-03-13,Better Offer,Voluntary
EMP06587,2025-11-09,Performance,Voluntary
EMP07179,2025-07-16,Career Change,Involuntary
EMP05058,2024-02-14,Performance,Voluntary
EMP00242,2023-10-03,Performance,Voluntary
EMP09194,2025-08-30,Personal,Involuntary
EMP00376,2025-09-10,Performance,Voluntary
EMP08012,2024-06-23,Career Change,Voluntary
EMP08204,2026-03-04,Performance,Voluntary
EMP08954,2026-05-28,Relocation,Voluntary
EMP00033,2026-04-21,Career Change,Voluntary
EMP08186,2024-06-07,Personal,Voluntary
EMP07702,2024-02-15,Relocation,Voluntary
