candidate_id,skill_id,proficiency
CAND02352,SK0255,4
CAND02929,SK0191,5
CAND13668,SK0090,4
CAND08394,SK0163,2
CAND05841,SK0177,1
CAND07210,SK0060,4
CAND00032,SK0140,2
CAND04271,SK0022,3
CAND10785,SK0289,1
CAND02679,SK0250,2
CAND07935,SK0029,5
CAND06280,SK0191,1
CAND05588,SK0248,2
CAND05097,SK0273,1
CAND12550,SK0215,4
CAND08655,SK0149,4
CAND04476,SK0199,4
CAND11753,SK0116,5
CAND03588,SK0150,5
CAND11117,SK0191,1
CAND06749,SK0264,4
CAND14836,SK0200,5
CAND01426,SK0034,5
CAND08995,SK0083,5
CAND03600,SK0024,1
CAND01869,SK0036,2
CAND07155,SK0004,5
CAND03982,SK0264,3
CAND02393,SK0080,4
CAND04728,SK0260,3
CAND05059,SK0289,2
CAND01819,SK0058,1
CAND01110,SK0210,3
CAND04666,SK0132,5
CAND12132,SK0122,4
CAND06747,SK0186,4
CAND05435,SK0099,5
CAND11819,SK0146,5
CAND14937,SK0037,2
CAND06751,SK0059,1
CAND03626,SK0084,1
CAND02020,SK0135,4
CAND06199,SK0046,1
CAND10687,SK0267,3
CAND07975,SK0286,3
CAND06391,SK0252,1
CAND06815,SK0003,4
CAND04541,SK0278,4
CAND09715,SK0153,2
CAND01083,SK0015,3
CAND03262,SK0018,5
CAND14044,SK0184,2
CAND03671,SK0275,1
CAND12365,SK0300,3
CAND12094,SK0131,3
CAND02477,SK0286,1
CAND00311,SK0111,1
CAND12691,SK0049,3
CAND13885,SK0066,5
CAND13015,SK0208,4
CAND10515,SK0065,2
CAND02798,SK0167,1
CAND00796,SK0170,3
CAND03244,SK0033,5
CAND05468,SK0205,3
CAND13536,SK0164,3
CAND05862,SK0211,4
CAND12538,SK0088,4
CAND00211,SK0227,2
CAND04079,SK0298,2
CAND03171,SK0108,4
CAND09733,SK0172,1
CAND05265,SK0014,3
CAND02808,SK0285,5
CAND09263,SK0163,1
CAND01372,SK0221,2
CAND05957,SK0053,5
CAND12795,SK0116,4
CAND13883,SK0093,1
CAND03471,SK0125,3
CAND00134,SK0133,5
CAND10818,SK0267,5
CAND12496,SK0144,5
CAND06724,SK0114,1
CAND07863,SK0133,5
CAND00710,SK0152,1
CAND03858,SK0002,5
CAND13128,SK0250,4
CAND03971,SK0017,3
CAND02092,SK0078,1
CAND03090,SK0024,2
CAND06535,SK0015,1
CAND01927,SK0163,4
CAND12496,SK0212,4
CAND14995,SK0299,5
CAND10876,SK0106,4
CAND07727,SK0021,2
CAND03024,SK0094,2
CAND12670,SK0080,4
CAND01364,SK0101,2
CAND09712,SK0066,5
CAND10743,SK0280,2
CAND12650,SK0218,5
CAND03186,SK0007,5
CAND14354,SK0024,5
CAND08053,SK0164,5
CAND08869,SK0149,2
CAND14756,SK0174,4
CAND03749,SK0029,5
CAND07894,SK0043,2
CAND06589,SK0144,3
CAND06533,SK0119,5
CAND02498,SK0214,5
CAND10120,SK0256,4
CAND00949,SK0160,4
CAND01687,SK0028,5
CAND01218,SK0071,3
CAND14064,SK0165,4
CAND14920,SK0102,4
CAND07264,SK0137,1
CAND09528,SK0075,3
CAND11143,SK0156,5
CAND12376,SK0151,2
CAND13616,SK0279,1
CAND09161,SK0298,3
CAND13089,SK0008,1
CAND02658,SK0118,1
CAND11350,SK0262,2
CAND06585,SK0155,4
CAND03556,SK0243,2
CAND05094,SK0030,4
CAND06020,SK0075,4
CAND07605,SK0137,4
CAND07107,SK0178,5
CAND01861,SK0117,4
CAND10283,SK0170,3
CAND00220,SK0236,2
CAND01326,SK0075,3
CAND04333,SK0137,2
CAND04603,SK0142,3
CAND12202,SK0290,3
CAND06463,SK0059,4
CAND10480,SK0116,3
CAND08173,SK0076,3
CAND05907,SK0093,5
CAND05181,SK0177,2
CAND07158,SK0123,2
CAND08529,SK0052,1
CAND08118,SK0202,2
CAND14616,SK0163,4
CAND09947,SK0006,2
CAND05017,SK0042,1
CAND12914,SK0265,4
CAND08748,SK0136,2
CAND03666,SK0193,4
CAND01114,SK0094,5
CAND11210,SK0186,4
CAND00450,SK0118,1
CAND13010,SK0081,4
CAND00008,SK0080,1
CAND11969,SK0294,1
CAND08077,SK0263,5
CAND09965,SK0264,4
CAND03418,SK0120,1
CAND02776,SK0110,2
CAND08149,SK0283,1
CAND02698,SK0228,2
CAND05783,SK0031,4
CAND06978,SK0158,4
CAND08996,SK0031,3
CAND13027,SK0063,5
CAND11296,SK0247,2
CAND14356,SK0187,3
CAND05850,SK0031,1
CAND02489,SK0115,4
CAND00732,SK0157,2
CAND13196,SK0002,3
CAND13457,SK0097,4
CAND08342,SK0232,5
CAND13136,SK0077,1
CAND09093,SK0127,1
CAND12643,SK0044,4
CAND13465,SK0048,5
CAND03941,SK0186,4
CAND03283,SK0176,2
CAND04213,SK0085,3
CAND14383,SK0143,3
CAND11758,SK0154,5
CAND01020,SK0023,5
CAND00023,SK0097,5
CAND14438,SK0297,3
CAND14526,SK0166,4
CAND07728,SK0208,1
CAND13844,SK0123,2
CAND11488,SK0212,5
CAND14770,SK0049,1
CAND00796,SK0130,1
CAND02374,SK0124,5
CAND06654,SK0275,5
CAND08880,SK0045,1
CAND14792,SK0063,1
CAND07411,SK0229,4
CAND13706,SK0091,2
CAND00238,SK0068,2
CAND04450,SK0257,5
CAND10782,SK0167,4
CAND10468,SK0060,1
CAND09200,SK0214,3
CAND05426,SK0261,1
CAND09116,SK0273,1
CAND03858,SK0173,1
CAND05636,SK0026,5
CAND11824,SK0151,4
CAND14767,SK0233,2
CAND09162,SK0198,3
CAND04065,SK0043,4
CAND04238,SK0032,4
CAND12832,SK0067,3
CAND14330,SK0118,1
CAND02505,SK0226,2
CAND02551,SK0242,2
CAND07206,SK0264,4
CAND05213,SK0178,1
CAND09559,SK0009,4
CAND06390,SK0141,4
CAND07169,SK0097,2
CAND12461,SK0107,2
CAND07412,SK0260,2
CAND10343,SK0140,1
CAND06974,SK0251,2
CAND03603,SK0107,1
CAND10548,SK0156,4
CAND06554,SK0164,1
CAND08895,SK0150,4
CAND12091,SK0083,1
CAND03801,SK0148,3
CAND02848,SK0092,5
CAND00477,SK0284,4
CAND11377,SK0228,5
CAND14858,SK0063,1
CAND11416,SK0199,1
CAND14639,SK0054,3
CAND05883,SK0196,2
CAND03954,SK0094,1
CAND03775,SK0250,2
CAND00560,SK0238,3
CAND07131,SK0072,5
CAND14402,SK0005,3
CAND14656,SK0009,3
CAND02524,SK0023,4
CAND14923,SK0056,4
CAND00343,SK0127,4
CAND11092,SK0051,2
CAND12317,SK0053,4
CAND12281,SK0084,3
CAND05790,SK0087,2
CAND14599,SK0281,1
CAND07085,SK0071,2
CAND11762,SK0141,1
CAND10912,SK0115,2
CAND08627,SK0060,3
CAND08732,SK0023,1
CAND01868,SK0003,5
CAND02790,SK0214,3
CAND05556,SK0144,3
CAND05876,SK0131,1
