path_id,path_name,department_id,required_skills
CP001,"Lighting technician, broadcasting/film/video Track",D015,"SK0184,SK0087,SK0170,SK0039,SK0052"
CP002,Professor Emeritus Track,D004,"SK0084,SK0191,SK0276"
CP003,"Therapist, occupational Track",D015,"SK0127,SK0125,SK0214,SK0094,SK0239,SK0190,SK0074"
CP004,Therapeutic radiographer Track,D010,"SK0272,SK0213,SK0034,SK0178,SK0058,SK0113,SK0249"
CP005,Broadcast presenter Track,D006,"SK0185,SK0067,SK0017,SK0143"
CP006,Event organiser Track,D013,"SK0117,SK0112,SK0282,SK0138"
CP007,Multimedia specialist Track,D007,"SK0205,SK0152,SK0300"
CP008,Musician Track,D001,"SK0146,SK0260,SK0147,SK0116,SK0082,SK0144,SK0091"
CP009,Consulting civil engineer Track,D011,"SK0059,SK0247,SK0206,SK0166"
CP010,Clinical embryologist Track,D014,"SK0150,SK0195,SK0092"
CP011,"Administrator, sports Track",D006,"SK0281,SK0256,SK0070,SK0120,SK0118,SK0292,SK0116"
CP012,"Engineer, electrical Track",D005,"SK0278,SK0055,SK0081,SK0162,SK0034,SK0142,SK0065"
CP013,"Scientist, research (medical) Track",D019,"SK0071,SK0061,SK0058,SK0103,SK0251,SK0274"
CP014,Retail merchandiser Track,D019,"SK0018,SK0180,SK0146,SK0054,SK0261"
CP015,Personnel officer Track,D013,"SK0004,SK0095,SK0086"
CP016,Dealer Track,D007,"SK0089,SK0283,SK0017,SK0134"
CP017,Trading standards officer Track,D008,"SK0215,SK0046,SK0210,SK0259,SK0012"
CP018,Chief Operating Officer Track,D014,"SK0288,SK0292,SK0003,SK0111"
CP019,"Editor, film/video Track",D019,"SK0034,SK0107,SK0289,SK0078,SK0191,SK0199,SK0194"
CP020,Publishing copy Track,D019,"SK0015,SK0086,SK0172,SK0201,SK0101"
CP021,Volunteer coordinator Track,D012,"SK0142,SK0266,SK0230"
CP022,Tourism officer Track,D009,"SK0260,SK0089,SK0001,SK0264,SK0113"
CP023,Arboriculturist Track,D014,"SK0225,SK0140,SK0115,SK0219,SK0124"
CP024,Ship broker Track,D006,"SK0189,SK0216,SK0109,SK0265,SK0180"
CP025,Retail manager Track,D015,"SK0028,SK0012,SK0152,SK0100,SK0282"
CP026,Commercial/residential surveyor Track,D013,"SK0113,SK0124,SK0170,SK0036,SK0020,SK0084,SK0098"
CP027,Chief Financial Officer Track,D007,"SK0162,SK0099,SK0071"
CP028,Race relations officer Track,D011,"SK0288,SK0010,SK0229"
CP029,"Conservator, furniture Track",D010,"SK0010,SK0232,SK0235,SK0275,SK0130"
CP030,Toxicologist Track,D001,"SK0271,SK0139,SK0037,SK0003,SK0015,SK0071"
CP031,"Solicitor, Scotland Track",D007,"SK0140,SK0056,SK0268,SK0001,SK0235,SK0224,SK0160"
CP032,Accommodation manager Track,D018,"SK0255,SK0229,SK0148,SK0296,SK0292,SK0198,SK0169"
CP033,Plant breeder/geneticist Track,D003,"SK0109,SK0238,SK0072,SK0280,SK0207,SK0117,SK0045"
CP034,"Scientist, research (maths) Track",D009,"SK0161,SK0066,SK0225,SK0290,SK0116"
CP035,Petroleum engineer Track,D005,"SK0209,SK0173,SK0036,SK0027,SK0231,SK0134,SK0223"
CP036,Metallurgist Track,D013,"SK0200,SK0242,SK0202,SK0262,SK0161,SK0222"
CP037,Armed forces logistics/support/administrative officer Track,D016,"SK0196,SK0137,SK0015,SK0232"
CP038,Senior tax professional/tax inspector Track,D016,"SK0050,SK0133,SK0274,SK0029,SK0239,SK0134,SK0052"
CP039,"Pilot, airline Track",D012,"SK0263,SK0155,SK0164,SK0277"
CP040,Estate manager/land agent Track,D018,"SK0088,SK0200,SK0245"
CP041,Race relations officer Track,D011,"SK0092,SK0184,SK0252,SK0162,SK0156,SK0105"
CP042,Museum/gallery curator Track,D017,"SK0178,SK0035,SK0300,SK0201,SK0254,SK0211,SK0093"
CP043,Maintenance engineer Track,D007,"SK0033,SK0262,SK0001,SK0272,SK0048"
CP044,Theme park manager Track,D015,"SK0178,SK0077,SK0182,SK0018,SK0120"
CP045,Teaching laboratory technician Track,D006,"SK0242,SK0257,SK0179,SK0222,SK0067"
CP046,Chief Technology Officer Track,D006,"SK0150,SK0032,SK0297,SK0114,SK0136"
CP047,"Physicist, medical Track",D018,"SK0022,SK0286,SK0075"
CP048,Contractor Track,D019,"SK0027,SK0045,SK0105,SK0210,SK0066,SK0005,SK0166"
CP049,Forest/woodland manager Track,D020,"SK0059,SK0023,SK0101,SK0189,SK0295,SK0156"
CP050,Publishing rights manager Track,D019,"SK0002,SK0075,SK0133"
CP051,"Exhibitions officer, museum/gallery Track",D002,"SK0236,SK0092,SK0241,SK0085,SK0038"
CP052,Charity officer Track,D003,"SK0292,SK0161,SK0166,SK0069"
CP053,Herpetologist Track,D014,"SK0147,SK0191,SK0199,SK0185,SK0007,SK0072,SK0025"
CP054,"Therapist, sports Track",D004,"SK0015,SK0033,SK0046"
CP055,Speech and language therapist Track,D017,"SK0241,SK0131,SK0139,SK0281,SK0291,SK0120,SK0133"
CP056,Osteopath Track,D006,"SK0141,SK0184,SK0029,SK0206,SK0051,SK0054,SK0271"
CP057,Furniture designer Track,D019,"SK0251,SK0072,SK0281,SK0198,SK0073,SK0277,SK0150"
CP058,Energy engineer Track,D009,"SK0048,SK0165,SK0130,SK0222,SK0277"
CP059,"Accountant, chartered public finance Track",D004,"SK0122,SK0143,SK0231,SK0171,SK0011,SK0026,SK0174"
CP060,Actor Track,D007,"SK0083,SK0105,SK0122,SK0187,SK0001,SK0050,SK0107"
CP061,Technical brewer Track,D004,"SK0241,SK0053,SK0077"
CP062,"Scientist, research (medical) Track",D011,"SK0286,SK0184,SK0021,SK0110,SK0251"
CP063,Commercial/residential surveyor Track,D002,"SK0032,SK0038,SK0287,SK0280,SK0206"
CP064,"Scientist, product/process development Track",D010,"SK0127,SK0229,SK0263,SK0234,SK0048,SK0095,SK0211"
CP065,Actor Track,D006,"SK0021,SK0197,SK0045,SK0271,SK0008,SK0260,SK0141"
CP066,Mining engineer Track,D008,"SK0112,SK0150,SK0053"
CP067,"Engineer, land Track",D015,"SK0200,SK0148,SK0162,SK0076,SK0015,SK0061"
CP068,Interpreter Track,D013,"SK0253,SK0015,SK0117"
CP069,Osteopath Track,D002,"SK0101,SK0007,SK0086,SK0147,SK0115,SK0237"
CP070,Medical illustrator Track,D020,"SK0034,SK0102,SK0265,SK0007,SK0298,SK0283,SK0297"
CP071,Clinical biochemist Track,D001,"SK0226,SK0256,SK0118"
CP072,"Designer, fashion/clothing Track",D015,"SK0198,SK0238,SK0096,SK0272,SK0166,SK0049"
CP073,Physiological scientist Track,D007,"SK0113,SK0115,SK0028,SK0134,SK0087,SK0168"
CP074,Textile designer Track,D018,"SK0246,SK0161,SK0037,SK0250"
CP075,Forensic scientist Track,D010,"SK0254,SK0294,SK0126,SK0057,SK0287,SK0252"
CP076,Games developer Track,D015,"SK0275,SK0168,SK0064"
CP077,Social worker Track,D005,"SK0171,SK0085,SK0028"
CP078,Pharmacologist Track,D011,"SK0100,SK0246,SK0028,SK0020,SK0124"
CP079,Systems analyst Track,D008,"SK0248,SK0240,SK0023"
CP080,Medical secretary Track,D008,"SK0231,SK0156,SK0123,SK0226"
CP081,Veterinary surgeon Track,D006,"SK0219,SK0180,SK0016,SK0068,SK0010,SK0260,SK0216"
CP082,Health and safety adviser Track,D015,"SK0111,SK0150,SK0266,SK0092,SK0236,SK0179"
CP083,Occupational psychologist Track,D015,"SK0158,SK0026,SK0025,SK0023,SK0295"
CP084,"Engineer, electronics Track",D005,"SK0289,SK0184,SK0159,SK0094,SK0267,SK0217,SK0001"
CP085,Patent attorney Track,D013,"SK0253,SK0222,SK0026,SK0288,SK0143,SK0257,SK0262"
CP086,Sub Track,D014,"SK0189,SK0040,SK0139,SK0194,SK0218,SK0070"
CP087,"Surveyor, hydrographic Track",D011,"SK0078,SK0092,SK0054,SK0090"
CP088,Radiation protection practitioner Track,D020,"SK0198,SK0057,SK0119,SK0005"
CP089,Editorial assistant Track,D012,"SK0071,SK0131,SK0182,SK0066,SK0189"
CP090,Metallurgist Track,D020,"SK0148,SK0247,SK0139,SK0160,SK0205,SK0143,SK0061"
CP091,"Surveyor, land/geomatics Track",D001,"SK0240,SK0159,SK0195,SK0287,SK0277,SK0272,SK0246"
CP092,"Surveyor, building control Track",D003,"SK0033,SK0036,SK0110,SK0042,SK0148"
CP093,Radio broadcast assistant Track,D008,"SK0185,SK0252,SK0075,SK0029"
CP094,Forensic scientist Track,D012,"SK0165,SK0201,SK0199,SK0070,SK0050"
CP095,Information systems manager Track,D015,"SK0277,SK0062,SK0259"
CP096,Technical brewer Track,D003,"SK0172,SK0131,SK0240,SK0214"
CP097,Local government officer Track,D008,"SK0223,SK0104,SK0170,SK0270"
CP098,Occupational therapist Track,D019,"SK0057,SK0222,SK0117,SK0227,SK0235,SK0120"
CP099,Corporate investment banker Track,D020,"SK0132,SK0153,SK0276,SK0060,SK0027"
CP100,Commissioning editor Track,D006,"SK0255,SK0100,SK0077,SK0049,SK0223"
CP101,Event organiser Track,D018,"SK0163,SK0257,SK0159,SK0053,SK0019,SK0201,SK0122"
CP102,Product manager Track,D011,"SK0285,SK0040,SK0092,SK0246,SK0105,SK0287,SK0191"
CP103,"Designer, television/film set Track",D012,"SK0163,SK0247,SK0179,SK0126,SK0158,SK0150"
CP104,Chiropodist Track,D002,"SK0084,SK0217,SK0180,SK0031,SK0292,SK0012"
CP105,"Engineer, site Track",D005,"SK0190,SK0122,SK0246"
CP106,Rural practice surveyor Track,D004,"SK0042,SK0071,SK0212,SK0219,SK0272,SK0232"
CP107,Oncologist Track,D009,"SK0290,SK0027,SK0202,SK0185,SK0018"
CP108,Lexicographer Track,D013,"SK0197,SK0239,SK0023,SK0091,SK0080,SK0016"
CP109,Statistician Track,D013,"SK0151,SK0152,SK0041,SK0143,SK0243"
CP110,Visual merchandiser Track,D015,"SK0062,SK0121,SK0265,SK0114,SK0005"
