certification_id,certification_name,provider,validity_months,primary_skill_id
CERT0001,Certified Art therapist Professional,Google,36,SK0123
CERT0002,Certified Surgeon Professional,Udemy,12,SK0265
CERT0003,Certified Police officer Professional,Google,36,SK0004
CERT0004,Certified Textile designer Professional,Google,12,SK0169
CERT0005,Certified Radiation protection practitioner Professional,Google,24,SK0281
CERT0006,Certified Rural practice surveyor Professional,Coursera,24,SK0290
CERT0007,"Certified Editor, film/video Professional",Microsoft,36,SK0073
CERT0008,Certified Technical sales engineer Professional,Udemy,999,SK0137
CERT0009,Certified Early years teacher Professional,Udemy,12,SK0256
CERT0010,"Certified Conservation officer, historic buildings Professional",Udemy,24,SK0141
CERT0011,Certified Civil Service administrator Professional,Microsoft,36,SK0208
CERT0012,Certified Naval architect Professional,Udemy,12,SK0260
CERT0013,Certified Tourism officer Professional,Udemy,36,SK0263
CERT0014,Certified Trading standards officer Professional,LinkedIn Learning,999,SK0271
CERT0015,Certified IT technical support officer Professional,AWS,999,SK0038
CERT0016,Certified Retail merchandiser Professional,LinkedIn Learning,12,SK0203
CERT0017,Certified Music tutor Professional,Coursera,999,SK0224
CERT0018,Certified Personal assistant Professional,Coursera,12,SK0052
CERT0019,Certified Transport planner Professional,Google,12,SK0081
CERT0020,Certified Fish farm manager Professional,Internal,999,SK0211
CERT0021,Certified Graphic designer Professional,AWS,36,SK0007
CERT0022,Certified Occupational therapist Professional,Microsoft,36,SK0045
CERT0023,Certified Lobbyist Professional,LinkedIn Learning,12,SK0277
CERT0024,Certified Hospital pharmacist Professional,Coursera,24,SK0259
CERT0025,Certified Production manager Professional,Microsoft,12,SK0142
CERT0026,Certified Contracting civil engineer Professional,Udemy,36,SK0258
CERT0027,Certified Corporate investment banker Professional,Microsoft,12,SK0285
CERT0028,Certified Passenger transport manager Professional,LinkedIn Learning,36,SK0037
CERT0029,Certified Town planner Professional,AWS,999,SK0045
CERT0030,Certified Science writer Professional,Internal,12,SK0120
CERT0031,Certified Hydrographic surveyor Professional,Google,12,SK0046
CERT0032,Certified Sports development officer Professional,LinkedIn Learning,999,SK0140
CERT0033,Certified Interior and spatial designer Professional,Google,999,SK0053
CERT0034,Certified Surgeon Professional,AWS,24,SK0288
CERT0035,"Certified Engineer, water Professional",Coursera,999,SK0274
CERT0036,"Certified Engineer, control and instrumentation Professional",Google,24,SK0269
CERT0037,"Certified Engineer, manufacturing systems Professional",Coursera,999,SK0279
CERT0038,Certified Horticultural therapist Professional,Microsoft,36,SK0062
CERT0039,Certified Location manager Professional,LinkedIn Learning,12,SK0054
CERT0040,Certified Consulting civil engineer Professional,Coursera,999,SK0069
CERT0041,"Certified Editor, magazine features Professional",Udemy,36,SK0242
CERT0042,Certified Retail manager Professional,Udemy,999,SK0270
CERT0043,Certified Special effects artist Professional,Internal,12,SK0252
CERT0044,Certified IT trainer Professional,Microsoft,999,SK0284
CERT0045,Certified Commercial art gallery manager Professional,Coursera,999,SK0071
CERT0046,Certified Management consultant Professional,Internal,12,SK0100
CERT0047,"Certified Surveyor, planning and development Professional",Udemy,999,SK0061
CERT0048,Certified Quantity surveyor Professional,Internal,12,SK0103
CERT0049,Certified Television floor manager Professional,Internal,24,SK0119
CERT0050,"Certified Teacher, English as a foreign language Professional",Coursera,999,SK0017
CERT0051,Certified Pensions consultant Professional,Coursera,36,SK0191
CERT0052,"Certified Social research officer, government Professional",Coursera,999,SK0212
CERT0053,Certified Higher education lecturer Professional,Microsoft,12,SK0078
CERT0054,"Certified Pharmacist, hospital Professional",Google,12,SK0046
CERT0055,"Certified Administrator, Civil Service Professional",Internal,36,SK0093
CERT0056,"Certified Scientist, research (medical) Professional",Internal,36,SK0013
CERT0057,Certified Clinical biochemist Professional,Microsoft,12,SK0228
CERT0058,Certified Agricultural consultant Professional,Udemy,24,SK0017
CERT0059,Certified Museum/gallery curator Professional,LinkedIn Learning,24,SK0062
CERT0060,Certified Dance movement psychotherapist Professional,Google,12,SK0043
CERT0061,Certified Astronomer Professional,Udemy,24,SK0068
CERT0062,Certified Banker Professional,Microsoft,36,SK0212
CERT0063,"Certified Engineer, communications Professional",Google,24,SK0203
CERT0064,"Certified Geologist, engineering Professional",Google,36,SK0214
CERT0065,"Certified Designer, multimedia Professional",Internal,999,SK0109
CERT0066,Certified Historic buildings inspector/conservation officer Professional,Internal,36,SK0284
CERT0067,Certified Fitness centre manager Professional,Coursera,999,SK0094
CERT0068,Certified Dancer Professional,Coursera,36,SK0225
CERT0069,Certified Biomedical engineer Professional,Internal,36,SK0225
CERT0070,Certified Hotel manager Professional,Internal,24,SK0239
CERT0071,"Certified Engineer, electronics Professional",AWS,36,SK0118
CERT0072,Certified Special educational needs teacher Professional,Google,12,SK0091
CERT0073,Certified Amenity horticulturist Professional,Coursera,999,SK0289
CERT0074,Certified Mechanical engineer Professional,Coursera,999,SK0281
CERT0075,Certified Production manager Professional,Udemy,36,SK0019
CERT0076,"Certified Civil engineer, consulting Professional",Internal,12,SK0175
CERT0077,Certified Warden/ranger Professional,Google,36,SK0106
CERT0078,"Certified Surveyor, planning and development Professional",Internal,36,SK0289
CERT0079,Certified Environmental manager Professional,Microsoft,24,SK0248
CERT0080,"Certified Surveyor, mining Professional",Udemy,36,SK0142
CERT0081,Certified Neurosurgeon Professional,LinkedIn Learning,36,SK0298
CERT0082,Certified Field seismologist Professional,LinkedIn Learning,24,SK0193
CERT0083,Certified Sales promotion account executive Professional,LinkedIn Learning,24,SK0291
CERT0084,Certified Holiday representative Professional,Google,12,SK0208
CERT0085,Certified Art gallery manager Professional,AWS,24,SK0248
CERT0086,Certified Museum/gallery curator Professional,Coursera,999,SK0142
CERT0087,Certified Naval architect Professional,Google,999,SK0222
CERT0088,Certified Pension scheme manager Professional,LinkedIn Learning,12,SK0225
CERT0089,Certified Intelligence analyst Professional,Microsoft,36,SK0184
CERT0090,Certified Sub Professional,Google,12,SK0188
CERT0091,Certified Audiological scientist Professional,Google,24,SK0113
CERT0092,"Certified Administrator, Civil Service Professional",Coursera,36,SK0181
CERT0093,Certified Food technologist Professional,Coursera,12,SK0199
CERT0094,"Certified Engineer, electrical Professional",LinkedIn Learning,12,SK0070
CERT0095,Certified Web designer Professional,Coursera,999,SK0086
CERT0096,Certified Probation officer Professional,Udemy,12,SK0039
CERT0097,Certified Equality and diversity officer Professional,Udemy,36,SK0131
CERT0098,Certified Mental health nurse Professional,LinkedIn Learning,12,SK0010
CERT0099,Certified Theatre stage manager Professional,Google,12,SK0003
CERT0100,Certified Sports coach Professional,Microsoft,24,SK0150
CERT0101,Certified Toxicologist Professional,Coursera,12,SK0067
CERT0102,"Certified Engineer, chemical Professional",Internal,36,SK0193
CERT0103,"Certified Engineer, biomedical Professional",Google,999,SK0097
CERT0104,Certified Hospital pharmacist Professional,LinkedIn Learning,999,SK0019
CERT0105,"Certified Production assistant, radio Professional",AWS,999,SK0098
CERT0106,"Certified Editor, film/video Professional",Coursera,999,SK0057
CERT0107,Certified Cabin crew Professional,LinkedIn Learning,24,SK0107
CERT0108,"Certified Embryologist, clinical Professional",LinkedIn Learning,36,SK0088
CERT0109,Certified Early years teacher Professional,Microsoft,24,SK0141
CERT0110,"Certified Scientist, audiological Professional",Internal,999,SK0144
CERT0111,Certified Communications engineer Professional,Coursera,24,SK0052
CERT0112,Certified Multimedia programmer Professional,LinkedIn Learning,12,SK0212
CERT0113,Certified Architect Professional,LinkedIn Learning,36,SK0041
CERT0114,Certified Phytotherapist Professional,Google,12,SK0091
CERT0115,Certified Health promotion specialist Professional,Coursera,24,SK0039
CERT0116,"Certified Surveyor, commercial/residential Professional",LinkedIn Learning,12,SK0013
CERT0117,"Certified Geneticist, molecular Professional",LinkedIn Learning,24,SK0096
CERT0118,"Certified Conservator, furniture Professional",LinkedIn Learning,24,SK0109
CERT0119,"Certified Designer, multimedia Professional",Udemy,36,SK0104
CERT0120,Certified Television/film/video producer Professional,Udemy,36,SK0231
CERT0121,Certified Freight forwarder Professional,Internal,36,SK0043
CERT0122,"Certified Accountant, chartered public finance Professional",Microsoft,999,SK0209
CERT0123,Certified Lawyer Professional,Google,36,SK0088
CERT0124,"Certified Psychologist, prison and probation services Professional",Google,12,SK0093
CERT0125,"Certified Designer, fashion/clothing Professional",Coursera,36,SK0174
CERT0126,Certified Archaeologist Professional,Microsoft,36,SK0126
CERT0127,"Certified Designer, exhibition/display Professional",Microsoft,36,SK0109
CERT0128,Certified IT trainer Professional,Google,24,SK0047
CERT0129,"Certified Therapist, speech and language Professional",Udemy,24,SK0214
CERT0130,Certified Arts development officer Professional,Internal,36,SK0092
CERT0131,Certified Warden/ranger Professional,Microsoft,24,SK0181
CERT0132,Certified Illustrator Professional,Google,24,SK0041
CERT0133,Certified Recycling officer Professional,Microsoft,999,SK0259
CERT0134,"Certified Teacher, primary school Professional",LinkedIn Learning,12,SK0121
CERT0135,Certified Statistician Professional,Coursera,24,SK0077
CERT0136,Certified Materials engineer Professional,Internal,12,SK0095
CERT0137,"Certified Buyer, industrial Professional",Google,24,SK0269
