employee_id,project_id,role,hours_allocated
EMP01793,PRJ1953,Contributor,161
EMP05086,PRJ4412,Manager,151
EMP01195,PRJ3394,Manager,18
EMP07637,PRJ4345,Contributor,171
EMP02644,PRJ0555,Manager,113
EMP00093,PRJ0681,Manager,237
EMP07336,PRJ3197,Manager,201
EMP08332,PRJ4565,Contributor,353
EMP01995,PRJ4175,Lead,26
EMP04063,PRJ2087,Lead,436
EMP04949,PRJ3244,Manager,481
EMP08707,PRJ2244,Manager,162
EMP03618,PRJ3484,Contributor,499
EMP08047,PRJ1924,Lead,244
EMP03652,PRJ3679,Reviewer,171
EMP07230,PRJ0859,Lead,147
EMP08907,PRJ2575,Manager,13
EMP08908,PRJ3077,Contributor,452
EMP08599,PRJ4357,Lead,333
EMP07011,PRJ4148,Contributor,434
EMP09368,PRJ1888,Manager,210
EMP07624,PRJ1291,Reviewer,313
EMP02796,PRJ3693,Lead,56
EMP09601,PRJ0955,Lead,218
EMP01248,PRJ3763,Lead,115
EMP04966,PRJ0178,Contributor,188
EMP04307,PRJ2579,Lead,175
EMP06200,PRJ2075,Contributor,69
EMP03688,PRJ0668,Contributor,183
EMP09334,PRJ3240,Manager,238
EMP00934,PRJ3165,Lead,456
EMP05527,PRJ3295,Manager,106
EMP07086,PRJ3930,Reviewer,448
EMP01098,PRJ1382,Reviewer,161
EMP05717,PRJ0176,Manager,399
EMP04825,PRJ1487,Manager,409
EMP02349,PRJ0559,Reviewer,270
EMP00668,PRJ3938,Lead,23
EMP09245,PRJ0649,Lead,191
EMP00469,PRJ2638,Lead,98
EMP00267,PRJ2850,Reviewer,371
EMP05518,PRJ3851,Lead,278
EMP07831,PRJ3981,Lead,463
EMP08018,PRJ0323,Lead,66
EMP05605,PRJ3940,Manager,142
EMP01557,PRJ4427,Lead,88
EMP03897,PRJ1745,Manager,299
EMP00136,PRJ0422,Manager,86
EMP00978,PRJ4850,Contributor,150
EMP08639,PRJ1143,Manager,113
EMP07228,PRJ3362,Manager,176
EMP00663,PRJ1846,Lead,486
EMP02834,PRJ3906,Contributor,340
EMP03359,PRJ4010,Manager,128
EMP08286,PRJ4854,Contributor,236
EMP00177,PRJ1942,Manager,262
EMP09482,PRJ4416,Lead,206
EMP06196,PRJ0696,Manager,257
EMP03588,PRJ0592,Manager,468
EMP03498,PRJ4198,Manager,415
EMP03976,PRJ4288,Contributor,75
EMP01919,PRJ3436,Reviewer,438
EMP06846,PRJ3487,Manager,127
EMP08554,PRJ3373,Manager,120
EMP04746,PRJ2213,Reviewer,104
EMP04487,PRJ2490,Lead,66
EMP00911,PRJ4470,Manager,123
EMP05186,PRJ3649,Lead,298
EMP05358,PRJ4779,Contributor,20
EMP04915,PRJ2998,Manager,356
EMP06202,PRJ4174,Contributor,405
EMP03164,PRJ0809,Reviewer,302
EMP00618,PRJ4781,Lead,91
EMP02310,PRJ2211,Reviewer,426
EMP00333,PRJ1529,Lead,150
EMP07161,PRJ2291,Contributor,253
EMP03956,PRJ1433,Lead,19
EMP09397,PRJ3022,Reviewer,121
EMP05874,PRJ0201,Contributor,90
EMP02072,PRJ3163,Lead,66
EMP00175,PRJ4147,Manager,98
EMP05313,PRJ1027,Lead,385
EMP09725,PRJ3351,Reviewer,211
EMP09302,PRJ0445,Lead,37
EMP02175,PRJ0550,Reviewer,324
EMP01699,PRJ0777,Manager,163
EMP06085,PRJ1279,Lead,135
EMP05957,PRJ0716,Reviewer,367
EMP02247,PRJ0854,Reviewer,167
EMP07697,PRJ1433,Reviewer,396
EMP09784,PRJ3444,Manager,98
EMP06618,PRJ0476,Reviewer,188
EMP08324,PRJ1075,Lead,349
EMP04964,PRJ2394,Manager,361
