employee_id,skill_id,proficiency_level,target_level
EMP09572,SK0102,4,3
EMP06314,SK0006,3,1
EMP08932,SK0165,4,5
EMP04322,SK0266,5,5
EMP08531,SK0068,4,5
EMP00341,SK0040,2,5
EMP01212,SK0198,3,1
EMP03836,SK0273,3,2
EMP01450,SK0025,1,1
EMP07277,SK0024,3,5
EMP00424,SK0261,2,3
EMP04267,SK0001,5,1
EMP06995,SK0290,2,4
EMP06126,SK0292,2,3
EMP05349,SK0218,4,1
EMP03508,SK0223,2,5
EMP05154,SK0206,5,3
EMP09185,SK0265,5,1
EMP07254,SK0110,3,1
EMP07756,SK0227,3,3
EMP00337,SK0248,2,5
EMP00710,SK0237,2,1
EMP09301,SK0141,4,2
EMP00965,SK0178,4,3
EMP07550,SK0200,3,4
EMP09359,SK0065,2,5
EMP07999,SK0165,2,3
EMP05603,SK0131,2,5
EMP04228,SK0284,1,4
EMP06074,SK0226,5,2
EMP05859,SK0043,2,2
EMP06080,SK0252,4,5
EMP08817,SK0124,2,4
EMP06629,SK0009,2,3
EMP08900,SK0193,2,1
EMP00623,SK0253,2,1
EMP01523,SK0170,1,3
EMP09094,SK0231,2,2
EMP06968,SK0297,2,4
EMP06132,SK0063,2,5
EMP00795,SK0080,5,2
EMP09536,SK0026,2,5
EMP03969,SK0175,2,1
EMP02363,SK0126,5,5
EMP00579,SK0179,2,3
EMP06927,SK0023,1,2
EMP04429,SK0017,2,2
EMP05578,SK0132,1,2
EMP05088,SK0018,1,1
EMP07972,SK0090,4,3
EMP03272,SK0235,1,5
EMP06409,SK0127,4,3
EMP04541,SK0068,5,2
EMP04297,SK0034,3,5
EMP02058,SK0260,3,2
EMP03379,SK0179,4,3
EMP03084,SK0198,1,1
EMP08752,SK0222,4,2
EMP08598,SK0285,5,4
EMP03414,SK0011,1,5
EMP01366,SK0181,5,5
EMP05233,SK0175,3,3
EMP03420,SK0107,1,5
EMP08133,SK0022,2,2
EMP06554,SK0166,4,1
EMP07193,SK0021,1,3
EMP08725,SK0274,3,4
EMP04299,SK0218,1,2
EMP04204,SK0051,4,5
EMP08737,SK0139,2,4
EMP08203,SK0277,1,2
EMP02498,SK0053,3,5
EMP03490,SK0222,1,4
EMP09011,SK0045,2,5
EMP04590,SK0081,1,5
EMP08884,SK0016,1,4
EMP03156,SK0298,2,5
EMP07002,SK0201,5,5
EMP06007,SK0089,4,3
EMP02130,SK0236,5,2
EMP08356,SK0098,4,5
EMP08162,SK0259,1,1
EMP08607,SK0287,5,4
EMP09840,SK0117,1,1
EMP03505,SK0128,5,4
EMP02539,SK0212,2,2
EMP08363,SK0005,3,1
EMP00744,SK0116,5,4
EMP02003,SK0213,1,2
EMP02386,SK0012,3,2
EMP09311,SK0219,5,3
EMP08869,SK0049,1,3
EMP02618,SK0127,5,3
EMP05056,SK0056,1,4
EMP02395,SK0294,5,1
EMP03057,SK0129,2,2
EMP06005,SK0204,1,5
EMP05658,SK0256,1,2
EMP05008,SK0213,1,5
EMP02075,SK0267,3,5
