skill_id,year,demand_index
SK0056,2025,54
SK0151,2022,61
SK0212,2022,42
SK0279,2021,94
SK0006,2021,84
SK0038,2021,69
SK0088,2026,36
SK0099,2024,91
SK0036,2026,14
SK0221,2023,23
SK0181,2021,58
SK0090,2026,33
SK0179,2024,52
SK0243,2023,80
SK0273,2025,55
SK0282,2026,78
SK0117,2022,22
SK0123,2025,70
SK0273,2023,51
SK0126,2022,13
SK0106,2026,80
SK0037,2024,10
SK0239,2024,75
SK0286,2024,86
SK0137,2023,72
SK0230,2026,40
SK0254,2025,65
SK0021,2021,52
SK0067,2022,95
SK0013,2026,20
SK0026,2021,25
SK0034,2025,41
SK0021,2023,89
SK0066,2022,30
SK0193,2025,63
SK0089,2022,64
SK0231,2026,32
SK0256,2023,89
SK0155,2023,96
SK0035,2026,53
SK0167,2022,64
SK0011,2023,87
SK0043,2021,66
SK0168,2022,64
SK0215,2023,62
SK0183,2022,70
SK0249,2024,47
SK0300,2023,38
SK0058,2023,48
SK0224,2023,14
SK0231,2022,96
SK0235,2025,61
SK0087,2026,39
SK0278,2021,86
SK0056,2022,18
SK0085,2026,14
SK0291,2023,97
SK0208,2022,42
SK0024,2026,36
SK0189,2023,45
SK0264,2025,57
SK0109,2025,54
SK0294,2021,59
SK0166,2024,67
SK0002,2025,64
SK0017,2026,83
SK0117,2024,79
SK0190,2022,84
SK0023,2021,98
SK0173,2022,35
SK0054,2022,52
SK0237,2022,25
SK0086,2025,52
SK0201,2024,11
SK0044,2026,25
SK0248,2021,88
SK0237,2026,79
SK0188,2024,98
SK0156,2023,69
SK0271,2023,75
SK0273,2021,31
SK0163,2025,56
SK0143,2024,74
SK0053,2022,48
SK0223,2021,42
SK0290,2022,35
SK0137,2025,66
SK0176,2021,91
SK0296,2026,69
SK0211,2025,61
SK0008,2022,74
SK0011,2022,83
SK0103,2021,74
SK0029,2024,43
SK0256,2021,70
SK0191,2023,22
SK0069,2025,44
SK0153,2026,42
SK0196,2024,52
SK0053,2022,70
SK0058,2023,72
SK0067,2023,13
SK0161,2022,52
SK0011,2021,57
SK0095,2025,84
SK0028,2024,87
SK0023,2026,94
SK0241,2021,49
SK0032,2024,33
SK0256,2025,50
SK0073,2023,86
SK0047,2022,13
SK0067,2024,82
SK0213,2025,46
SK0064,2021,37
SK0257,2021,68
SK0054,2023,90
SK0153,2024,58
SK0202,2026,60
SK0025,2025,40
SK0045,2022,28
SK0170,2023,40
SK0047,2023,19
SK0201,2024,73
SK0263,2021,57
SK0135,2024,45
SK0289,2026,16
SK0169,2021,16
SK0221,2024,12
SK0291,2021,37
SK0205,2026,22
SK0156,2024,16
SK0165,2026,73
SK0274,2022,57
SK0046,2026,13
SK0227,2026,67
SK0019,2024,97
SK0193,2025,18
SK0116,2026,66
SK0098,2021,27
SK0028,2023,41
SK0070,2022,13
SK0213,2022,12
SK0144,2026,27
SK0289,2022,14
SK0107,2025,30
SK0241,2024,89
SK0222,2021,29
SK0293,2025,77
SK0145,2025,20
SK0127,2025,84
SK0238,2026,55
SK0203,2021,19
SK0087,2024,28
SK0254,2021,48
SK0170,2022,59
SK0176,2022,67
SK0186,2024,66
SK0277,2021,80
SK0187,2024,51
SK0164,2025,89
SK0286,2021,32
SK0136,2022,94
SK0288,2022,15
SK0241,2025,63
SK0175,2024,21
SK0273,2025,36
SK0010,2026,78
SK0268,2022,95
SK0188,2026,23
SK0133,2026,35
SK0213,2023,31
SK0069,2024,72
SK0056,2021,59
SK0042,2023,34
SK0141,2025,87
SK0030,2022,56
SK0076,2024,12
SK0199,2025,75
SK0031,2024,99
SK0147,2024,23
SK0171,2021,57
SK0126,2024,27
SK0016,2023,84
SK0296,2026,32
SK0184,2025,72
SK0187,2022,79
SK0276,2022,30
SK0098,2022,92
SK0077,2021,71
SK0018,2021,35
SK0057,2025,25
SK0079,2021,72
SK0221,2023,91
SK0297,2022,59
SK0155,2026,32
SK0280,2022,51
SK0093,2023,41
SK0196,2026,91
SK0294,2025,95
SK0143,2026,19
SK0261,2021,78
SK0144,2024,22
SK0129,2024,71
SK0054,2025,36
SK0039,2022,13
SK0240,2025,66
SK0148,2023,11
SK0126,2025,39
SK0297,2021,21
SK0270,2023,91
SK0207,2023,42
SK0021,2025,39
SK0163,2025,12
SK0204,2024,98
SK0117,2023,18
SK0082,2024,60
SK0049,2025,26
SK0125,2025,64
SK0282,2025,64
SK0276,2026,55
SK0206,2021,65
SK0258,2024,28
SK0104,2024,75
SK0021,2021,22
SK0267,2021,93
SK0132,2022,67
SK0242,2021,23
SK0156,2026,99
SK0079,2022,60
SK0283,2026,41
SK0004,2026,60
SK0251,2024,57
SK0097,2026,68
SK0178,2025,45
SK0259,2025,20
SK0243,2023,67
SK0063,2025,83
SK0143,2026,28
SK0168,2024,14
SK0290,2026,40
SK0065,2022,44
SK0168,2023,73
SK0032,2026,79
SK0256,2024,23
SK0031,2022,54
SK0218,2025,97
SK0131,2022,98
SK0210,2025,97
SK0266,2025,67
SK0218,2021,91
SK0258,2023,32
SK0118,2025,42
SK0193,2021,68
SK0224,2025,58
SK0090,2024,95
SK0138,2022,81
SK0115,2026,59
SK0133,2022,87
SK0188,2024,30
SK0098,2023,74
SK0139,2024,70
SK0176,2026,55
SK0160,2021,59
SK0040,2022,48
SK0096,2021,39
SK0042,2021,82
SK0152,2024,98
SK0150,2025,66
SK0033,2021,24
SK0212,2026,19
SK0075,2023,81
SK0186,2022,79
SK0057,2023,47
SK0124,2021,15
SK0158,2025,52
SK0276,2025,48
SK0278,2023,91
SK0145,2022,70
SK0158,2022,69
SK0138,2023,78
SK0107,2026,80
SK0001,2023,85
SK0204,2024,21
SK0003,2022,40
SK0022,2022,71
SK0051,2024,62
SK0191,2022,90
SK0209,2026,11
SK0129,2024,47
SK0019,2021,53
SK0089,2021,18
SK0022,2025,68
SK0116,2022,96
