interview_id,candidate_id,interviewer_id,score,result
INT00001,CAND09242,EMP05894,1.7,Pass
INT00002,CAND08805,EMP08441,3.9,Pass
INT00003,CAND14691,EMP07732,1.5,Fail
INT00004,CAND05650,EMP07163,1.8,Pass
INT00005,CAND13492,EMP04099,2.3,Pass
INT00006,CAND04085,EMP02807,3.3,Pass
INT00007,CAND06128,EMP06982,3.9,Fail
INT00008,CAND09153,EMP00376,3.5,Fail
INT00009,CAND02001,EMP08505,2.1,Fail
INT00010,CAND06283,EMP07382,4.2,Fail
INT00011,CAND04008,EMP07499,3.3,Pass
INT00012,CAND13546,EMP07927,2.1,Pass
INT00013,CAND02221,EMP05476,4.7,Pass
INT00014,CAND09016,EMP01938,3.9,Pass
INT00015,CAND09294,EMP06543,2.5,Pass
INT00016,CAND04031,EMP08755,3.0,Fail
INT00017,CAND11620,EMP08797,1.9,Fail
INT00018,CAND14471,EMP09325,1.7,Fail
INT00019,CAND06960,EMP06383,3.6,Pass
INT00020,CAND11769,EMP02739,4.1,Fail
INT00021,CAND11714,EMP04830,3.6,Pass
INT00022,CAND01117,EMP09726,4.8,Pass
INT00023,CAND14376,EMP03151,1.1,Pass
INT00024,CAND06675,EMP01462,3.8,Fail
INT00025,CAND08304,EMP03064,1.9,Fail
INT00026,CAND08730,EMP04483,1.5,Pass
INT00027,CAND03508,EMP00713,3.1,Pass
INT00028,CAND14207,EMP08288,4.8,Fail
INT00029,CAND01372,EMP04692,4.8,Fail
INT00030,CAND02637,EMP02376,4.0,Fail
INT00031,CAND05629,EMP01047,4.8,Fail
INT00032,CAND14865,EMP04358,1.3,Pass
INT00033,CAND09255,EMP07184,4.1,Pass
INT00034,CAND03837,EMP08832,4.1,Pass
INT00035,CAND03550,EMP00410,4.9,Pass
INT00036,CAND10309,EMP01802,1.5,Pass
INT00037,CAND10701,EMP05623,1.8,Fail
INT00038,CAND07469,EMP01460,3.0,Fail
INT00039,CAND14677,EMP00067,2.0,Fail
INT00040,CAND10122,EMP04055,4.8,Fail
INT00041,CAND09795,EMP01043,2.2,Pass
INT00042,CAND04321,EMP03050,5.0,Pass
INT00043,CAND07788,EMP08549,2.2,Fail
INT00044,CAND07359,EMP03532,3.6,Fail
INT00045,CAND03675,EMP04317,1.2,Pass
INT00046,CAND07115,EMP04213,4.0,Fail
INT00047,CAND00421,EMP08288,2.7,Fail
INT00048,CAND08545,EMP03628,3.7,Pass
INT00049,CAND05011,EMP00520,3.8,Pass
INT00050,CAND06528,EMP09670,2.1,Fail
INT00051,CAND07723,EMP06383,2.7,Pass
INT00052,CAND05885,EMP02448,1.8,Fail
INT00053,CAND02772,EMP09762,2.7,Pass
INT00054,CAND11526,EMP03490,1.5,Fail
INT00055,CAND14330,EMP00298,2.9,Pass
INT00056,CAND13615,EMP08999,1.5,Pass
INT00057,CAND07618,EMP07505,2.9,Pass
INT00058,CAND09556,EMP01363,4.2,Pass
INT00059,CAND12896,EMP07176,2.0,Fail
INT00060,CAND01414,EMP07343,1.5,Fail
INT00061,CAND12923,EMP01369,1.4,Fail
INT00062,CAND04120,EMP08869,3.7,Fail
INT00063,CAND02599,EMP02529,1.2,Fail
INT00064,CAND03774,EMP04239,3.8,Fail
INT00065,CAND07283,EMP00116,4.0,Pass
INT00066,CAND13296,EMP07320,4.3,Pass
INT00067,CAND04846,EMP08986,1.7,Fail
