job_title,date,open_positions,average_market_salary
General practice doctor,2024-10-11,636,86871.3
Chief Financial Officer,2025-12-03,4854,137855.62
Community education officer,2025-03-09,3098,172834.29
Cabin crew,2024-10-03,2318,103193.39
"Designer, ceramics/pottery",2025-12-22,343,115680.93
Optometrist,2024-10-28,1700,182082.38
"Geologist, wellsite",2025-04-15,1340,105777.55
Patent attorney,2024-12-20,4414,119898.54
"Scientist, research (maths)",2025-06-14,3002,139277.81
"Scientist, research (physical sciences)",2025-06-22,3497,129041.15
Theatre stage manager,2025-01-23,1531,56429.45
Environmental consultant,2024-09-06,197,137158.63
Agricultural engineer,2024-08-18,1562,167282.72
"Engineer, site",2025-12-28,2620,165100.09
"Surveyor, insurance",2025-08-21,688,128742.03
"Scientist, research (physical sciences)",2026-07-26,4286,152563.19
Forensic scientist,2024-08-27,2469,60290.94
"Administrator, local government",2024-08-18,406,90773.42
Architect,2025-07-14,1699,78641.82
Television/film/video producer,2025-08-06,3872,144269.36
"Psychologist, clinical",2025-02-06,3938,180319.79
Curator,2026-04-02,2346,103994.98
Actor,2024-09-25,1324,113877.49
"Presenter, broadcasting",2026-01-18,2255,129522.48
"Surveyor, land/geomatics",2026-02-09,2115,185173.54
Armed forces technical officer,2026-06-27,3920,177874.01
Stage manager,2025-12-02,3442,161647.0
"Civil engineer, contracting",2025-01-12,2851,159550.36
"Journalist, magazine",2026-01-13,1570,158827.56
Horticultural therapist,2026-01-01,577,145210.65
Medical physicist,2025-04-27,1712,133228.22
Community arts worker,2025-01-13,3793,86551.07
"Programmer, systems",2026-04-21,3754,137125.07
Insurance claims handler,2026-05-02,4857,50333.18
Pension scheme manager,2024-08-15,2293,58443.57
Diplomatic Services operational officer,2025-10-08,3695,55429.69
"Production designer, theatre/television/film",2025-03-27,2202,72800.04
Cabin crew,2025-08-29,4731,89688.1
Herbalist,2024-10-22,3539,128485.85
Community development worker,2025-12-13,1439,112670.25
Broadcast engineer,2024-09-04,1921,64821.47
"Engineer, energy",2026-04-20,1357,66138.24
Pensions consultant,2026-02-27,3993,149866.09
"Biochemist, clinical",2024-10-22,3831,188984.98
Therapeutic radiographer,2025-09-25,1093,195852.75
Merchant navy officer,2024-09-10,582,109485.32
Optometrist,2024-09-09,1667,77773.84
"Designer, furniture",2026-07-14,2451,98577.54
"Clinical scientist, histocompatibility and immunogenetics",2025-12-24,1531,67544.8
"Geologist, wellsite",2025-11-02,4248,148195.95
Tourism officer,2024-10-26,1491,104320.4
Furniture conservator/restorer,2025-06-10,376,153726.33
Electronics engineer,2026-06-17,83,194541.75
Forensic psychologist,2025-07-13,3792,137641.74
IT sales professional,2025-11-20,702,169585.74
Nature conservation officer,2025-01-03,3472,173920.53
Arts development officer,2024-10-23,3590,199744.85
Patent attorney,2026-04-25,4955,168857.71
"Teacher, secondary school",2024-08-27,1537,147801.15
Animal technologist,2026-05-23,391,162532.97
Call centre manager,2024-09-05,3849,121177.57
Human resources officer,2025-01-06,2882,138711.43
Publishing rights manager,2026-03-14,2924,128724.9
Paramedic,2025-09-02,4014,191991.71
Research scientist (physical sciences),2024-08-27,3888,154640.01
Publishing copy,2024-10-14,2618,115785.35
"Producer, television/film/video",2025-04-11,3616,116861.79
Pension scheme manager,2025-04-02,3694,72592.11
Podiatrist,2026-02-09,2112,124225.97
Medical sales representative,2026-04-28,3139,64682.27
Sports coach,2025-06-20,2362,130482.48
Health and safety adviser,2025-02-28,1456,123566.98
"Psychologist, occupational",2025-07-07,1628,111103.98
"Engineer, manufacturing",2024-09-02,1907,189903.5
Production manager,2026-05-15,1305,130018.33
Risk manager,2025-04-29,4937,132015.09
Technical author,2024-11-12,3855,197350.02
Recycling officer,2025-08-22,4330,166159.29
"Engineer, drilling",2026-04-05,1582,181212.81
Video editor,2026-02-27,2109,196505.42
Marine scientist,2025-11-19,680,53495.44
Physiological scientist,2026-04-06,660,126906.6
Psychiatrist,2026-03-30,3779,141527.51
Financial adviser,2025-04-15,2276,138828.09
"Producer, television/film/video",2026-01-01,4025,113196.35
"Surveyor, quantity",2024-09-28,4319,143525.31
"Engineer, communications",2025-07-23,4467,67827.59
Emergency planning/management officer,2025-05-28,2710,82001.57
Geophysicist/field seismologist,2026-06-11,4139,134687.38
"Accountant, chartered public finance",2025-09-19,1102,95585.07
Environmental education officer,2024-08-11,1448,181979.27
Art therapist,2025-09-05,104,190331.34
Chief Operating Officer,2025-12-25,4010,160129.16
Insurance underwriter,2026-06-27,2298,105800.94
Consulting civil engineer,2025-02-13,1274,99090.47
Contracting civil engineer,2025-05-30,4976,108829.99
Legal secretary,2025-04-30,1003,196678.33
Medical sales representative,2026-07-12,4132,73973.92
"Scientist, research (maths)",2024-11-14,4375,111648.67
Electrical engineer,2025-05-05,76,62529.85
Holiday representative,2025-03-03,1957,97762.28
