lp_id,lp_name,course_ids,target_skill_id
LP001,Path to Geophysical data processor,"C00126,C00271,C00435,C00400,C00091",SK0265
LP002,Path to Public affairs consultant,"C00951,C00476,C00598,C00853,C00566",SK0055
LP003,Path to Video editor,"C00189,C00710,C00011,C00255,C00906,C00302",SK0275
LP004,Path to Lobbyist,"C00695,C00423,C00182,C00742",SK0052
LP005,Path to Medical secretary,"C00480,C00598,C00537,C00801,C00200,C00996,C00536,C00777,C00612",SK0193
LP006,Path to Educational psychologist,"C00192,C00314,C00408,C00981,C00797",SK0266
LP007,Path to Research scientist (physical sciences),"C00273,C00625,C00522,C00009",SK0071
LP008,Path to Photographer,"C00794,C00488,C00420,C00956,C00790",SK0065
LP009,"Path to Engineer, materials","C00342,C00994,C00128,C00554,C00621,C00455,C00933",SK0069
LP010,Path to Personnel officer,"C00272,C00665,C00921,C00390,C00954,C00301",SK0243
LP011,Path to Microbiologist,"C00948,C00775,C00704,C00451,C00968,C00916,C00093,C00036,C00537",SK0253
LP012,Path to Medical sales representative,"C00014,C00923,C00696,C00172,C00263,C00076,C00053",SK0243
LP013,Path to Oncologist,"C00027,C00460,C00656,C00701,C00972",SK0265
LP014,Path to Health service manager,"C00819,C00062,C00305",SK0092
LP015,"Path to Production designer, theatre/television/film","C00244,C00797,C00362,C00526,C00472,C00883,C00272",SK0098
LP016,Path to Education administrator,"C00766,C00331,C00207,C00303,C00538,C00612,C00031,C00306,C00075",SK0158
LP017,"Path to Teacher, music","C00826,C00099,C00200,C00306,C00907,C00872,C00722,C00725,C00885",SK0202
LP018,"Path to Conservator, museum/gallery","C00670,C00180,C00245,C00051,C00436,C00736",SK0139
LP019,Path to Teaching laboratory technician,"C00618,C00589,C00577",SK0027
LP020,Path to Estate manager/land agent,"C00471,C00076,C00570,C00483,C00633,C00772,C00881,C00336,C00085",SK0269
LP021,Path to Chiropodist,"C00188,C00637,C00994,C00852,C00780,C00507",SK0284
LP022,Path to Geophysicist/field seismologist,"C00665,C00400,C00606,C00168,C00434,C00244,C00753",SK0275
LP023,Path to Fashion designer,"C00066,C00643,C00914,C00943,C00163,C00576,C00203,C00901,C00038",SK0222
LP024,"Path to Surveyor, building control","C00443,C00100,C00735,C00326,C00835,C00028",SK0236
LP025,Path to Podiatrist,"C00680,C00185,C00122,C00563,C00848,C00482,C00653",SK0197
LP026,Path to Museum/gallery curator,"C00001,C00185,C00440,C00536,C00102,C00352",SK0029
LP027,"Path to Engineer, building services","C00769,C00545,C00086",SK0199
LP028,Path to Dancer,"C00698,C00383,C00378,C00849",SK0268
LP029,Path to Dealer,"C00793,C00416,C00470",SK0118
LP030,Path to Public librarian,"C00497,C00659,C00184,C00415",SK0092
LP031,Path to Acupuncturist,"C00353,C00059,C00178,C00503,C00210,C00426,C00124,C00399,C00009",SK0196
LP032,"Path to Editor, commissioning","C00252,C00966,C00703,C00877,C00234,C00984,C00354",SK0044
LP033,"Path to Pharmacist, community","C00759,C00278,C00896,C00753,C00325,C00751,C00678,C00603,C00461",SK0094
LP034,Path to Restaurant manager,"C00617,C00602,C00043,C00204,C00945,C00037,C00525",SK0062
LP035,Path to Contractor,"C00157,C00258,C00372,C00205,C00426,C00676,C00654",SK0016
LP036,"Path to Scientist, forensic","C00182,C00549,C00966,C00603",SK0071
LP037,"Path to Social research officer, government","C00295,C00406,C00167,C00079,C00387,C00337",SK0147
LP038,Path to Interpreter,"C00308,C00819,C00233,C00920",SK0125
LP039,"Path to Radiographer, therapeutic","C00222,C00541,C00646,C00120",SK0081
LP040,Path to Hydrologist,"C00586,C00073,C00106,C00849,C00675",SK0147
LP041,Path to Fitness centre manager,"C00394,C00777,C00028,C00551",SK0266
LP042,"Path to Surveyor, planning and development","C00197,C00350,C00668,C00838,C00416,C00631,C00571",SK0043
LP043,Path to Tax inspector,"C00004,C00354,C00159,C00474,C00044,C00736",SK0008
LP044,Path to Art gallery manager,"C00982,C00250,C00217,C00895,C00351,C00305,C00873,C00659,C00356",SK0237
LP045,Path to Occupational therapist,"C00190,C00694,C00635",SK0101
LP046,Path to Child psychotherapist,"C00002,C00496,C00641,C00287,C00494",SK0029
LP047,"Path to Development worker, community","C00575,C00629,C00182,C00627,C00404,C00262,C00699,C00912,C00218",SK0070
LP048,Path to Best boy,"C00576,C00025,C00333,C00239,C00032,C00006",SK0226
LP049,"Path to Engineer, structural","C00018,C00710,C00933,C00059,C00226,C00091,C00916,C00667,C00918",SK0214
LP050,Path to Forest/woodland manager,"C00653,C00984,C00785,C00594,C00737,C00545,C00543,C00187",SK0024
LP051,Path to Publishing copy,"C00539,C00935,C00705,C00999,C00397",SK0076
LP052,Path to Chief Operating Officer,"C00493,C00857,C00006,C00608,C00366,C00439,C00241",SK0217
LP053,"Path to Production assistant, television","C00334,C00520,C00275,C00147,C00547,C00067,C00363",SK0230
LP054,"Path to Lecturer, higher education","C00780,C00932,C00107",SK0007
LP055,Path to Gaffer,"C00082,C00242,C00882",SK0175
LP056,Path to Media planner,"C00153,C00635,C00563,C00874,C00438,C00896",SK0154
LP057,Path to Media buyer,"C00460,C00797,C00652,C00728,C00562,C00767",SK0293
LP058,"Path to Surveyor, minerals","C00325,C00726,C00859,C00655,C00627,C00898,C00490,C00297",SK0097
LP059,"Path to Surveyor, hydrographic","C00914,C00527,C00093",SK0079
LP060,Path to Furniture designer,"C00050,C00741,C00428,C00882,C00248",SK0056
LP061,Path to Local government officer,"C00557,C00383,C00063,C00756,C00214",SK0054
LP062,Path to Advertising account planner,"C00131,C00153,C00625,C00374,C00413",SK0127
LP063,Path to Paramedic,"C00804,C00999,C00391,C00051,C00151,C00328,C00964",SK0107
LP064,Path to Community development worker,"C00735,C00002,C00135,C00580",SK0208
LP065,Path to Make,"C00764,C00547,C00542,C00385,C00311,C00584,C00386",SK0051
LP066,Path to Trading standards officer,"C00751,C00705,C00583,C00455,C00217,C00941,C00899,C00023",SK0059
LP067,"Path to Engineer, civil (contracting)","C00730,C00772,C00514,C00508,C00202,C00953",SK0246
LP068,Path to Technical author,"C00867,C00319,C00726,C00522,C00993,C00181,C00744",SK0191
LP069,Path to Teaching laboratory technician,"C00127,C00033,C00808,C00118,C00854,C00197",SK0033
LP070,Path to Solicitor,"C00982,C00861,C00319",SK0069
LP071,Path to Ecologist,"C00062,C00210,C00998,C00167,C00484",SK0270
LP072,Path to Higher education careers adviser,"C00393,C00663,C00706,C00997",SK0235
LP073,Path to Marine scientist,"C00288,C00537,C00110,C00762,C00495,C00193,C00546",SK0056
LP074,"Path to Journalist, broadcasting","C00094,C00889,C00203,C00030,C00390,C00174,C00346,C00684,C00530",SK0251
LP075,"Path to Sales professional, IT","C00825,C00323,C00253,C00575,C00506",SK0059
LP076,Path to Ranger/warden,"C00618,C00810,C00320,C00578,C00387,C00600",SK0248
LP077,Path to Product manager,"C00860,C00895,C00291,C00758",SK0094
LP078,Path to Careers information officer,"C00343,C00238,C00620,C00519,C00734,C00077,C00819,C00470,C00599",SK0188
LP079,Path to Museum/gallery curator,"C00646,C00747,C00029,C00654",SK0112
LP080,Path to Visual merchandiser,"C00099,C00619,C00082,C00551,C00037",SK0076
LP081,Path to Historic buildings inspector/conservation officer,"C00171,C00050,C00051,C00695,C00480,C00759,C00542",SK0180
LP082,"Path to Psychologist, educational","C00262,C00667,C00702,C00691,C00684,C00688,C00054,C00282",SK0126
LP083,Path to Dance movement psychotherapist,"C00371,C00834,C00567,C00643,C00986,C00764,C00781,C00259,C00461",SK0278
LP084,Path to Diplomatic Services operational officer,"C00308,C00432,C00207,C00923",SK0027
LP085,Path to Leisure centre manager,"C00528,C00677,C00030,C00978,C00564,C00553,C00354,C00894",SK0216
LP086,"Path to Pharmacist, community","C00022,C00494,C00003,C00018,C00529,C00552,C00907,C00192",SK0212
LP087,Path to Video editor,"C00180,C00800,C00536",SK0266
LP088,"Path to Teacher, music","C00030,C00575,C00893,C00363,C00345,C00580,C00104,C00361,C00583",SK0206
LP089,Path to Ophthalmologist,"C00078,C00777,C00260,C00374",SK0212
LP090,Path to Building surveyor,"C00013,C00339,C00634,C00834,C00028,C00759,C00265",SK0091
LP091,Path to Cartographer,"C00342,C00548,C00963,C00693,C00537,C00012,C00967,C00797,C00434",SK0173
LP092,"Path to Designer, television/film set","C00165,C00982,C00039",SK0109
LP093,Path to Lobbyist,"C00088,C00319,C00547,C00863,C00421,C00491,C00397,C00775",SK0210
LP094,Path to Estate agent,"C00910,C00121,C00866,C00886,C00614,C00626,C00930,C00962",SK0168
LP095,Path to Interior and spatial designer,"C00602,C00549,C00552,C00923,C00490,C00146,C00147",SK0102
LP096,Path to Investment analyst,"C00969,C00523,C00842",SK0217
LP097,"Path to Horticulturist, amenity","C00307,C00102,C00242,C00600",SK0129
LP098,"Path to Geologist, engineering","C00063,C00994,C00240,C00593,C00862,C00278",SK0246
LP099,Path to Trade union research officer,"C00807,C00914,C00129,C00833,C00711",SK0029
LP100,Path to Nutritional therapist,"C00716,C00369,C00081",SK0211
