review_id,employee_id,review_date,manager_effectiveness_score,reviewer_id,rating_type
PR00001,EMP01481,2024-12-05,4.6,EMP07522,Upward Feedback
PR00002,EMP09008,2024-10-25,4.0,EMP07206,Upward Feedback
PR00003,EMP02672,2026-05-10,3.2,EMP04251,Upward Feedback
PR00004,EMP01010,2025-07-05,2.3,EMP06953,Upward Feedback
PR00005,EMP02739,2024-05-15,1.4,EMP09738,Upward Feedback
PR00006,EMP06153,2024-06-27,3.6,EMP09842,Upward Feedback
PR00007,EMP08567,2024-09-02,2.0,EMP02636,Upward Feedback
PR00008,EMP01091,2024-08-04,2.8,EMP03488,Upward Feedback
PR00009,EMP06817,2023-09-03,4.4,EMP04981,Upward Feedback
PR00010,EMP04336,2024-05-14,3.6,EMP02231,Upward Feedback
PR00011,EMP03941,2026-05-12,3.6,EMP02792,Upward Feedback
PR00012,EMP07866,2024-01-30,4.0,EMP04546,Upward Feedback
PR00013,EMP06302,2024-10-28,4.0,EMP04682,Upward Feedback
PR00014,EMP06001,2023-11-03,3.8,EMP05031,Upward Feedback
PR00015,EMP04046,2026-07-10,4.4,EMP02660,Upward Feedback
PR00016,EMP05733,2024-08-06,1.8,EMP09811,Upward Feedback
PR00017,EMP08373,2024-03-05,1.8,EMP06979,Upward Feedback
PR00018,EMP00503,2023-10-24,3.4,EMP00530,Upward Feedback
PR00019,EMP06806,2026-01-28,4.7,EMP05559,Upward Feedback
PR00020,EMP07580,2024-12-31,1.6,EMP01846,Upward Feedback
PR00021,EMP01914,2025-07-06,2.2,EMP08506,Upward Feedback
PR00022,EMP08576,2025-05-16,2.4,EMP08891,Upward Feedback
PR00023,EMP07153,2025-05-17,4.5,EMP08344,Upward Feedback
PR00024,EMP06726,2023-11-13,2.4,EMP09253,Upward Feedback
PR00025,EMP01571,2023-11-04,3.9,EMP01069,Upward Feedback
PR00026,EMP01378,2026-02-19,4.2,EMP07420,Upward Feedback
PR00027,EMP09308,2023-09-06,2.6,EMP00588,Upward Feedback
PR00028,EMP05582,2025-04-04,1.9,EMP06034,Upward Feedback
PR00029,EMP01683,2026-03-23,3.3,EMP03892,Upward Feedback
PR00030,EMP06529,2025-04-05,3.2,EMP02617,Upward Feedback
PR00031,EMP06769,2025-09-01,1.9,EMP01084,Upward Feedback
PR00032,EMP06988,2023-11-20,2.9,EMP06749,Upward Feedback
PR00033,EMP05663,2023-11-15,1.4,EMP07433,Upward Feedback
PR00034,EMP00859,2026-05-06,1.8,EMP09906,Upward Feedback
PR00035,EMP03097,2024-08-24,2.9,EMP03166,Upward Feedback
PR00036,EMP01572,2025-03-30,4.0,EMP05841,Upward Feedback
PR00037,EMP05753,2024-09-14,2.9,EMP08479,Upward Feedback
PR00038,EMP06907,2023-11-17,1.0,EMP00029,Upward Feedback
PR00039,EMP05350,2026-05-06,4.5,EMP03643,Upward Feedback
PR00040,EMP09072,2026-02-08,3.9,EMP01219,Upward Feedback
PR00041,EMP04907,2025-02-23,1.3,EMP06579,Upward Feedback
PR00042,EMP04513,2024-12-20,2.4,EMP05382,Upward Feedback
PR00043,EMP05178,2025-04-06,3.5,EMP08316,Upward Feedback
PR00044,EMP00855,2024-03-17,3.9,EMP06375,Upward Feedback
PR00045,EMP02286,2025-11-22,2.3,EMP09819,Upward Feedback
PR00046,EMP02185,2024-09-12,3.4,EMP01782,Upward Feedback
PR00047,EMP09943,2023-12-11,3.1,EMP04652,Upward Feedback
PR00048,EMP08987,2025-03-26,1.1,EMP08042,Upward Feedback
PR00049,EMP03492,2025-06-22,1.3,EMP02512,Upward Feedback
PR00050,EMP00104,2024-04-27,4.8,EMP04885,Upward Feedback
PR00051,EMP03299,2026-04-13,4.4,EMP03787,Upward Feedback
PR00052,EMP08108,2023-11-27,1.3,EMP00198,Upward Feedback
PR00053,EMP05393,2026-04-05,3.1,EMP01602,Upward Feedback
PR00054,EMP08880,2025-07-25,3.1,EMP03980,Upward Feedback
PR00055,EMP06125,2025-05-20,3.4,EMP07014,Upward Feedback
PR00056,EMP07806,2024-02-19,1.8,EMP01436,Upward Feedback
PR00057,EMP08933,2025-07-23,4.7,EMP06920,Upward Feedback
PR00058,EMP03047,2024-10-12,4.3,EMP09716,Upward Feedback
PR00059,EMP07241,2025-08-04,4.0,EMP02950,Upward Feedback
