month,revenue,headcount,attrition_rate
2020-01-31,45738915.4,4937,0.077
2020-02-29,42556232.91,5073,0.079
2020-03-31,22720237.17,5112,0.067
2020-04-30,17632645.77,5145,0.083
2020-05-31,36109084.18,5296,0.128
2020-06-30,11098607.9,5447,0.106
2020-07-31,43118598.65,5378,0.106
2020-08-31,28931155.29,5553,0.13
2020-09-30,10605883.52,5561,0.145
2020-10-31,42167274.86,5642,0.119
2020-11-30,48748951.05,5749,0.123
2020-12-31,43528689.17,5748,0.136
2021-01-31,39211971.84,5781,0.146
2021-02-28,29143725.96,5995,0.141
2021-03-31,26812830.67,5888,0.143
2021-04-30,34429407.79,5968,0.085
2021-05-31,45856249.03,6048,0.084
2021-06-30,20230075.35,6287,0.113
2021-07-31,39770675.1,6338,0.121
2021-08-31,27099553.23,6307,0.082
2021-09-30,43238880.54,6420,0.066
2021-10-31,37265976.92,6474,0.089
2021-11-30,21555266.66,6635,0.132
2021-12-31,43696232.34,6654,0.088
2022-01-31,22427612.27,6750,0.144
2022-02-28,19365301.55,6759,0.124
2022-03-31,16045046.4,6827,0.071
2022-04-30,14028335.3,6950,0.062
2022-05-31,10211502.6,6909,0.148
2022-06-30,14809727.59,7073,0.139
2022-07-31,37168217.6,7127,0.146
2022-08-31,39224368.89,7095,0.146
2022-09-30,43105181.26,7166,0.077
2022-10-31,15484845.15,7334,0.05
2022-11-30,46841904.42,7302,0.138
2022-12-31,32037570.33,7370,0.112
2023-01-31,35964883.63,7625,0.1
2023-02-28,40251054.39,7525,0.119
2023-03-31,42041833.79,7673,0.14
2023-04-30,45890685.3,7820,0.086
2023-05-31,46687189.0,7776,0.094
2023-06-30,44070963.82,7819,0.089
2023-07-31,18846114.44,8000,0.06
2023-08-31,34372494.16,8060,0.081
2023-09-30,13299011.57,8177,0.131
2023-10-31,12175996.59,8261,0.09
2023-11-30,24293183.06,8178,0.122
2023-12-31,23005044.28,8271,0.119
2024-01-31,19473594.44,8391,0.083
2024-02-29,30487978.34,8448,0.068
2024-03-31,11838094.76,8482,0.149
2024-04-30,26471565.55,8573,0.101
2024-05-31,31236476.24,8587,0.117
2024-06-30,36952547.5,8647,0.057
2024-07-31,10651859.92,8863,0.052
2024-08-31,22546737.6,8855,0.075
2024-09-30,34066971.16,8874,0.054
2024-10-31,26508662.19,8974,0.121
2024-11-30,20082957.02,9139,0.125
2024-12-31,49309268.15,9062,0.053
2025-01-31,18126047.66,9232,0.083
2025-02-28,24467550.49,9302,0.078
2025-03-31,25329162.63,9377,0.073
2025-04-30,32648782.63,9359,0.093
2025-05-31,31885934.22,9509,0.069
2025-06-30,19209509.89,9508,0.089
2025-07-31,15813727.15,9606,0.118
2025-08-31,49910963.26,9656,0.068
2025-09-30,38881268.62,9756,0.124
2025-10-31,43658041.92,9917,0.086
2025-11-30,16838392.74,9836,0.103
2025-12-31,18784771.35,10017,0.097
