review_id,employee_id,review_date,score,reviewer_id
PR00001,EMP01481,2024-12-05,4.6,EMP07522
PR00002,EMP09008,2024-10-25,4.0,EMP07206
PR00003,EMP02672,2026-05-10,3.2,EMP04251
PR00004,EMP01010,2025-07-05,2.3,EMP06953
PR00005,EMP02739,2024-05-15,1.4,EMP09738
PR00006,EMP06153,2024-06-27,3.6,EMP09842
PR00007,EMP08567,2024-09-02,2.0,EMP02636
PR00008,EMP01091,2024-08-04,2.8,EMP03488
PR00009,EMP06817,2023-09-03,4.4,EMP04981
PR00010,EMP04336,2024-05-14,3.6,EMP02231
PR00011,EMP03941,2026-05-12,3.6,EMP02792
PR00012,EMP07866,2024-01-30,4.0,EMP04546
PR00013,EMP06302,2024-10-28,4.0,EMP04682
PR00014,EMP06001,2023-11-03,3.8,EMP05031
PR00015,EMP04046,2026-07-10,4.4,EMP02660
PR00016,EMP05733,2024-08-06,1.8,EMP09811
PR00017,EMP08373,2024-03-05,1.8,EMP06979
PR00018,EMP00503,2023-10-24,3.4,EMP00530
PR00019,EMP06806,2026-01-28,4.7,EMP05559
PR00020,EMP07580,2024-12-31,1.6,EMP01846
PR00021,EMP01914,2025-07-06,2.2,EMP08506
PR00022,EMP08576,2025-05-16,2.4,EMP08891
PR00023,EMP07153,2025-05-17,4.5,EMP08344
PR00024,EMP06726,2023-11-13,2.4,EMP09253
PR00025,EMP01571,2023-11-04,3.9,EMP01069
PR00026,EMP01378,2026-02-19,4.2,EMP07420
PR00027,EMP09308,2023-09-06,2.6,EMP00588
PR00028,EMP05582,2025-04-04,1.9,EMP06034
PR00029,EMP01683,2026-03-23,3.3,EMP03892
PR00030,EMP06529,2025-04-05,3.2,EMP02617
PR00031,EMP06769,2025-09-01,1.9,EMP01084
PR00032,EMP06988,2023-11-20,2.9,EMP06749
PR00033,EMP05663,2023-11-15,1.4,EMP07433
PR00034,EMP00859,2026-05-06,1.8,EMP09906
PR00035,EMP03097,2024-08-24,2.9,EMP03166
PR00036,EMP01572,2025-03-30,4.0,EMP05841
PR00037,EMP05753,2024-09-14,2.9,EMP08479
PR00038,EMP06907,2023-11-17,1.0,EMP00029
PR00039,EMP05350,2026-05-06,4.5,EMP03643
PR00040,EMP09072,2026-02-08,3.9,EMP01219
PR00041,EMP04907,2025-02-23,1.3,EMP06579
PR00042,EMP04513,2024-12-20,2.4,EMP05382
PR00043,EMP05178,2025-04-06,3.5,EMP08316
PR00044,EMP00855,2024-03-17,3.9,EMP06375
PR00045,EMP02286,2025-11-22,2.3,EMP09819
PR00046,EMP02185,2024-09-12,3.4,EMP01782
PR00047,EMP09943,2023-12-11,3.1,EMP04652
PR00048,EMP08987,2025-03-26,1.1,EMP08042
PR00049,EMP03492,2025-06-22,1.3,EMP02512
PR00050,EMP00104,2024-04-27,4.8,EMP04885
PR00051,EMP03299,2026-04-13,4.4,EMP03787
PR00052,EMP08108,2023-11-27,1.3,EMP00198
PR00053,EMP05393,2026-04-05,3.1,EMP01602
PR00054,EMP08880,2025-07-25,3.1,EMP03980
PR00055,EMP06125,2025-05-20,3.4,EMP07014
PR00056,EMP07806,2024-02-19,1.8,EMP01436
PR00057,EMP08933,2025-07-23,4.7,EMP06920
PR00058,EMP03047,2024-10-12,4.3,EMP09716
PR00059,EMP07241,2025-08-04,4.0,EMP02950
PR00060,EMP06198,2026-04-15,1.4,EMP09566
PR00061,EMP05618,2025-09-27,2.1,EMP01222
PR00062,EMP00633,2024-05-07,2.3,EMP02585
PR00063,EMP09653,2024-01-20,1.2,EMP00733
PR00064,EMP07287,2026-02-14,4.2,EMP08458
PR00065,EMP08979,2024-11-23,3.7,EMP03194
PR00066,EMP03097,2025-08-07,4.0,EMP04878
PR00067,EMP00724,2025-02-07,1.9,EMP08674
PR00068,EMP07016,2024-02-16,1.8,EMP05404
PR00069,EMP08923,2023-09-07,3.1,EMP00394
