project_id,skill_id,required_proficiency
PRJ3937,SK0200,2
PRJ1956,SK0150,4
PRJ3918,SK0286,2
PRJ0654,SK0117,3
PRJ0156,SK0006,3
PRJ2763,SK0016,3
PRJ2537,SK0164,4
PRJ2654,SK0129,4
PRJ2022,SK0004,2
PRJ2290,SK0059,3
PRJ2198,SK0157,3
PRJ2218,SK0124,4
PRJ0421,SK0108,2
PRJ2611,SK0093,4
PRJ2464,SK0091,3
PRJ3507,SK0275,3
PRJ4153,SK0030,3
PRJ1299,SK0047,4
PRJ2224,SK0254,4
PRJ2467,SK0075,4
PRJ4123,SK0247,2
PRJ2228,SK0115,4
PRJ4276,SK0157,2
PRJ0025,SK0226,2
PRJ3361,SK0129,4
PRJ3345,SK0176,3
PRJ0253,SK0269,4
PRJ4234,SK0194,3
PRJ2800,SK0212,2
PRJ0352,SK0216,3
PRJ1755,SK0074,3
PRJ0943,SK0079,3
PRJ1962,SK0201,4
PRJ4992,SK0259,3
PRJ1584,SK0117,3
PRJ2722,SK0083,4
PRJ2047,SK0217,2
PRJ4941,SK0293,4
PRJ2942,SK0084,4
PRJ1802,SK0129,2
PRJ2972,SK0238,2
PRJ4339,SK0196,3
PRJ2603,SK0279,4
PRJ2500,SK0294,3
PRJ4937,SK0082,2
PRJ2483,SK0066,3
PRJ3219,SK0196,4
PRJ4422,SK0093,3
PRJ2803,SK0009,4
PRJ2695,SK0030,4
PRJ4957,SK0110,3
PRJ2343,SK0125,2
PRJ2743,SK0120,3
PRJ3964,SK0242,3
PRJ4056,SK0142,3
PRJ3834,SK0262,3
PRJ0352,SK0239,4
PRJ4602,SK0032,2
PRJ1942,SK0195,3
PRJ1637,SK0253,3
PRJ2037,SK0255,2
PRJ2442,SK0298,2
PRJ3593,SK0249,3
PRJ2560,SK0278,2
PRJ3841,SK0016,2
PRJ2133,SK0069,3
PRJ4308,SK0071,2
PRJ2579,SK0152,3
PRJ2340,SK0010,2
PRJ1736,SK0123,2
PRJ3666,SK0144,3
PRJ1108,SK0064,4
PRJ3077,SK0299,4
PRJ1734,SK0080,3
PRJ1840,SK0211,3
PRJ4137,SK0154,3
PRJ3535,SK0260,3
PRJ0580,SK0147,2
PRJ3844,SK0053,4
PRJ1111,SK0052,2
PRJ2533,SK0025,3
PRJ2665,SK0267,3
PRJ4772,SK0100,4
PRJ1907,SK0212,3
PRJ2134,SK0103,2
PRJ2823,SK0174,2
PRJ3310,SK0255,4
PRJ3175,SK0275,2
PRJ1682,SK0265,3
PRJ2929,SK0059,4
PRJ0158,SK0258,2
PRJ3089,SK0090,3
PRJ1719,SK0267,3
PRJ1218,SK0064,4
PRJ1664,SK0218,4
PRJ0584,SK0173,2
PRJ0656,SK0233,4
PRJ2383,SK0269,3
PRJ0197,SK0263,4
PRJ3209,SK0141,3
PRJ0407,SK0296,3
PRJ1740,SK0210,4
PRJ4875,SK0084,4
PRJ2315,SK0025,4
PRJ2933,SK0279,3
PRJ2714,SK0036,3
PRJ2227,SK0272,2
