project_id,project_name,department_id,status,budget,business_value,complexity
PRJ0001,Project Expanded methodical utilization,D020,In Progress,630832.35,4537264.29,Critical
PRJ0002,Project Digitized hybrid methodology,D008,Cancelled,303654.16,999231.71,Critical
PRJ0003,Project Synchronized analyzing knowledgebase,D013,Planning,376387.11,2497710.48,High
PRJ0004,Project Universal tangible knowledge user,D014,Completed,899853.19,2791839.82,Low
PRJ0005,Project Expanded 5thgeneration core,D009,Completed,500611.39,3627392.75,Low
PRJ0006,Project Versatile 24/7 matrix,D002,Planning,372664.89,4168664.76,Critical
PRJ0007,Project Balanced incremental throughput,D005,Planning,732903.19,4867309.69,High
PRJ0008,Project Monitored bandwidth-monitored projection,D019,Planning,955410.63,830215.9,Low
PRJ0009,Project Up-sized empowering interface,D015,Completed,278893.98,2922527.97,Critical
PRJ0010,Project Team-oriented foreground alliance,D017,Completed,486520.83,4185299.35,Medium
PRJ0011,Project Organic encompassing strategy,D005,In Progress,741605.59,1938001.6,Critical
PRJ0012,Project Focused 4thgeneration task-force,D004,In Progress,990906.97,1390085.62,Critical
PRJ0013,Project Object-based tertiary middleware,D009,In Progress,878772.9,1947949.43,Low
PRJ0014,Project Seamless background encoding,D007,In Progress,115552.49,3100437.32,Medium
PRJ0015,Project User-centric full-range help-desk,D004,Completed,733225.93,3986831.34,High
PRJ0016,Project Switchable tertiary paradigm,D018,Completed,735862.24,842621.56,Critical
PRJ0017,Project Polarized scalable focus group,D003,Planning,374828.16,1275714.14,Low
PRJ0018,Project Function-based 24/7 portal,D008,Completed,192193.65,1981666.11,High
PRJ0019,Project Extended upward-trending utilization,D011,Completed,575103.55,2046176.7,Medium
PRJ0020,Project Fully-configurable static project,D014,Completed,898958.61,3418119.2,Low
PRJ0021,Project Public-key next generation Internet solution,D014,Completed,462850.15,2942716.65,Low
PRJ0022,Project Multi-lateral human-resource data-warehouse,D018,Completed,39837.89,2260959.22,Critical
PRJ0023,Project Cross-platform multimedia emulation,D004,Completed,336618.94,4046820.91,High
PRJ0024,Project Managed 4thgeneration open architecture,D008,Completed,368250.45,2173293.75,Medium
PRJ0025,Project Configurable systematic orchestration,D019,In Progress,456347.25,1679892.5,Critical
PRJ0026,Project Mandatory client-driven service-desk,D007,Completed,165611.04,1330777.98,High
PRJ0027,Project Multi-lateral zero tolerance Graphic Interface,D014,Completed,138587.03,2806065.87,Low
PRJ0028,Project Cross-group optimal moratorium,D020,Completed,953672.14,1892645.62,Low
PRJ0029,Project Multi-lateral heuristic matrix,D019,Completed,787552.45,4675773.29,Critical
PRJ0030,Project Secured fresh-thinking methodology,D015,Completed,822930.94,3837459.14,Critical
PRJ0031,Project Face-to-face intangible budgetary management,D015,Cancelled,147839.83,395304.84,Low
PRJ0032,Project Face-to-face discrete neural-net,D006,Planning,344088.97,580561.59,Critical
PRJ0033,Project Persevering logistical firmware,D003,In Progress,61098.01,2237760.0,High
PRJ0034,Project Right-sized analyzing analyzer,D012,Completed,222679.71,2294583.75,Critical
PRJ0035,Project Streamlined grid-enabled task-force,D003,Completed,71699.85,3776947.21,Medium
PRJ0036,Project Networked zero administration hierarchy,D006,Completed,25417.26,275695.34,Critical
PRJ0037,Project Persistent scalable strategy,D015,In Progress,129203.11,4495383.78,Low
PRJ0038,Project Cross-group web-enabled budgetary management,D009,Completed,629127.11,3258121.17,Medium
PRJ0039,Project Optional asymmetric middleware,D008,Completed,908714.25,1446558.93,High
PRJ0040,Project Focused uniform capacity,D019,In Progress,173528.96,326644.52,High
PRJ0041,Project Adaptive 6thgeneration data-warehouse,D005,Completed,808141.32,1177095.88,Low
PRJ0042,Project Quality-focused clear-thinking database,D001,Completed,290603.58,3456973.48,Critical
PRJ0043,Project Pre-emptive local concept,D013,Completed,639319.18,2218708.56,Critical
PRJ0044,Project Synchronized content-based attitude,D006,Completed,321700.15,1109136.62,Critical
PRJ0045,Project Right-sized web-enabled ability,D015,Completed,641446.74,624542.06,Low
PRJ0046,Project Seamless impactful moratorium,D018,In Progress,196831.13,4080654.68,Critical
PRJ0047,Project Fully-configurable holistic array,D004,In Progress,904680.9,4744906.5,Critical
PRJ0048,Project Streamlined real-time moratorium,D019,In Progress,124564.4,776086.57,High
PRJ0049,Project Up-sized 3rdgeneration service-desk,D001,Completed,233002.79,2451829.04,Critical
PRJ0050,Project Programmable needs-based projection,D016,Planning,418770.6,2209973.28,High
PRJ0051,Project Visionary well-modulated task-force,D020,Planning,998785.96,4266704.13,High
PRJ0052,Project Inverse demand-driven archive,D015,Completed,231704.94,3230082.13,Low
PRJ0053,Project Stand-alone transitional extranet,D002,Completed,17996.17,4363261.39,Medium
PRJ0054,Project Pre-emptive bandwidth-monitored flexibility,D020,In Progress,912109.35,3812335.39,High
PRJ0055,Project Secured impactful projection,D019,Completed,682513.87,4281609.98,Low
PRJ0056,Project Down-sized fault-tolerant flexibility,D004,In Progress,806746.66,2258083.09,Low
