employee_id,previous_title,new_title,promotion_date,salary_increase_pct
EMP05596,"Engineer, site",Politician's assistant,2021-08-24,12.1
EMP08776,Educational psychologist,Licensed conveyancer,2026-07-22,19.4
EMP09766,Osteopath,Magazine features editor,2023-04-15,19.8
EMP05785,"Engineer, automotive",Trade union research officer,2022-03-29,21.1
EMP06971,Recruitment consultant,Site engineer,2025-07-03,17.8
EMP01556,"Therapist, sports","Education officer, environmental",2022-03-03,5.7
EMP00826,Biomedical engineer,"Education officer, museum",2026-06-09,24.1
EMP03722,Cartographer,Armed forces technical officer,2025-07-27,9.8
EMP05038,"Engineer, control and instrumentation",Data scientist,2023-02-23,15.1
EMP04056,Recycling officer,Patent examiner,2026-04-28,11.7
EMP07398,Community education officer,Human resources officer,2022-07-03,22.7
EMP05756,Banker,Horticultural therapist,2022-06-13,17.2
EMP03705,"Psychologist, educational",Operational investment banker,2025-11-14,20.3
EMP08297,Data scientist,Water engineer,2024-07-19,22.3
EMP01944,Illustrator,Commercial horticulturist,2025-05-13,22.4
EMP04459,Financial planner,Risk manager,2025-10-22,15.9
EMP04674,"Surveyor, minerals",Brewing technologist,2025-04-07,8.6
EMP08429,Computer games developer,Politician's assistant,2022-09-04,21.1
EMP09784,Field trials officer,"Engineer, petroleum",2025-06-13,13.2
EMP01502,Fisheries officer,Biomedical scientist,2022-07-14,16.1
EMP02236,"Therapist, music",Animal technologist,2023-01-07,21.7
EMP02765,"Engineer, building services",Aeronautical engineer,2023-09-29,7.3
EMP09064,Database administrator,Radio producer,2025-09-04,17.1
EMP04795,Horticultural consultant,"Psychologist, occupational",2022-05-13,19.8
EMP01909,Land,"Scientist, water quality",2024-08-11,18.2
EMP09514,"Engineer, biomedical","Psychologist, forensic",2025-07-02,19.9
EMP03123,Interpreter,Trading standards officer,2023-09-30,10.6
EMP02430,"Engineer, mining",Museum/gallery curator,2023-07-14,16.5
EMP08768,Tourism officer,Agricultural engineer,2023-05-11,20.3
EMP06164,Osteopath,"Engineer, electrical",2022-11-03,22.7
EMP07014,"Therapist, sports",Chief Executive Officer,2026-01-07,20.4
EMP06791,"Psychologist, educational","Investment banker, corporate",2022-12-22,20.4
EMP04666,Technical author,"Copywriter, advertising",2024-08-24,5.7
EMP06092,Broadcast journalist,Community pharmacist,2022-02-03,20.5
EMP04308,Freight forwarder,Radio broadcast assistant,2023-04-14,15.6
EMP04656,"Journalist, newspaper",Metallurgist,2026-06-21,20.4
EMP03298,Hydrologist,Outdoor activities/education manager,2025-06-14,10.2
EMP08893,"Administrator, charities/voluntary organisations",Dramatherapist,2025-04-25,23.7
EMP06627,Print production planner,"Solicitor, Scotland",2023-10-25,20.5
EMP07162,"Engineer, manufacturing",Arts administrator,2025-02-07,6.9
EMP02261,Community education officer,Secondary school teacher,2023-02-18,12.5
EMP06594,Paediatric nurse,Press photographer,2025-01-27,24.9
EMP07903,Corporate investment banker,Plant breeder/geneticist,2022-06-09,14.6
EMP02052,"Therapist, speech and language","Engineer, materials",2024-09-22,23.2
EMP02715,Outdoor activities/education manager,"Engineer, communications",2024-02-25,13.1
EMP00464,"Designer, fashion/clothing",Museum/gallery exhibitions officer,2022-12-10,11.7
EMP00651,IT trainer,Systems analyst,2024-04-04,11.9
EMP06435,"Copywriter, advertising",Chief Financial Officer,2024-08-10,16.6
EMP02459,Civil Service administrator,Associate Professor,2026-01-17,24.5
EMP02633,Clinical molecular geneticist,Emergency planning/management officer,2022-05-11,17.5
EMP09819,Archaeologist,Osteopath,2024-12-18,16.5
EMP08925,Accounting technician,Theatre stage manager,2022-07-17,5.8
EMP06122,"Teacher, adult education",Firefighter,2025-03-09,7.9
EMP05123,Chiropodist,Aeronautical engineer,2023-08-03,13.3
EMP06411,"Clinical scientist, histocompatibility and immunogenetics",Claims inspector/assessor,2022-09-26,14.3
EMP01824,"Engineer, civil (contracting)","Presenter, broadcasting",2026-07-11,17.1
EMP08410,"Engineer, civil (consulting)",Estate agent,2022-12-29,21.7
EMP05981,Ophthalmologist,Radio producer,2022-12-06,7.4
EMP02461,"Accountant, chartered certified",Youth worker,2024-02-05,22.9
EMP09251,Risk analyst,Energy engineer,2021-08-29,9.6
EMP02550,Lobbyist,Best boy,2024-03-05,15.4
EMP01242,"Psychologist, prison and probation services",Consulting civil engineer,2025-12-20,5.9
EMP07575,"Therapist, music","Designer, exhibition/display",2026-02-27,23.5
EMP00131,Air broker,Audiological scientist,2021-08-11,12.1
EMP07251,Travel agency manager,"Psychologist, sport and exercise",2022-08-11,23.0
EMP02717,Clinical psychologist,Interpreter,2023-05-31,5.2
EMP09700,Health and safety inspector,Operational researcher,2022-08-17,6.7
EMP00729,"Surveyor, mining","Scientist, audiological",2022-05-05,8.3
EMP06895,"Education officer, community","Designer, textile",2023-08-11,17.4
EMP01839,"Investment banker, operational",Clinical molecular geneticist,2024-05-14,23.7
EMP05577,Health physicist,"Therapist, speech and language",2025-09-20,16.3
EMP01147,Manufacturing systems engineer,Chief Operating Officer,2026-07-20,13.6
EMP07826,Neurosurgeon,English as a foreign language teacher,2025-04-16,9.9
EMP04650,Fast food restaurant manager,Podiatrist,2024-10-27,8.9
EMP04075,Actuary,Professor Emeritus,2022-08-31,17.9
EMP01098,"Nurse, learning disability",Water quality scientist,2024-07-27,18.1
EMP02314,Community development worker,Commissioning editor,2025-05-10,15.4
EMP00921,"Nurse, children's","Therapist, occupational",2025-06-16,5.5
EMP05290,Financial adviser,Pension scheme manager,2022-03-06,12.9
EMP07037,"Designer, furniture","Psychotherapist, child",2023-05-07,14.2
EMP09586,Sales promotion account executive,Forest/woodland manager,2022-09-05,24.4
EMP05619,Town planner,"Designer, television/film set",2025-12-16,23.1
EMP07405,"Engineer, production",Analytical chemist,2022-01-02,22.4
EMP07018,Government social research officer,"Sound technician, broadcasting/film/video",2023-02-25,22.6
EMP05940,"Scientist, product/process development",Fine artist,2023-08-27,17.2
EMP07180,Commercial art gallery manager,Materials engineer,2022-10-31,23.5
EMP07159,Medical sales representative,Building surveyor,2024-01-28,14.8
EMP03619,"Programmer, applications",Software engineer,2022-01-29,9.4
EMP08017,Cabin crew,"Programmer, applications",2026-01-24,23.9
EMP06863,IT consultant,Health visitor,2022-03-21,18.9
EMP08084,Communications engineer,"Sales professional, IT",2022-09-26,7.4
EMP00776,Psychotherapist,"Nurse, mental health",2025-06-25,7.1
EMP01978,Manufacturing engineer,Fish farm manager,2024-10-03,22.7
EMP09567,Public librarian,Cartographer,2025-01-17,14.7
EMP03182,Clinical embryologist,Volunteer coordinator,2026-03-22,12.8
EMP07071,Commercial horticulturist,Town planner,2025-10-27,9.4
EMP06346,Geophysicist/field seismologist,Commercial art gallery manager,2024-07-13,20.4
EMP05941,Location manager,Proofreader,2026-07-17,16.5
EMP09648,Chief Operating Officer,Higher education lecturer,2024-02-08,9.1
EMP02256,"Accountant, chartered public finance",Magazine journalist,2024-06-14,24.3
EMP09079,Information systems manager,"Surveyor, insurance",2023-05-24,5.8
EMP06852,Outdoor activities/education manager,Marine scientist,2026-08-01,9.3
EMP00926,Energy manager,Insurance claims handler,2023-07-22,17.2
EMP05855,Historic buildings inspector/conservation officer,Arts administrator,2025-10-25,5.9
EMP00749,Youth worker,Diagnostic radiographer,2023-04-21,21.5
EMP06497,Quality manager,Operations geologist,2026-03-26,22.4
EMP08753,Conference centre manager,Wellsite geologist,2025-08-11,22.9
EMP00535,Glass blower/designer,Retail manager,2026-02-20,5.2
EMP03633,Hydrographic surveyor,Field trials officer,2022-05-17,13.1
EMP01563,Water quality scientist,Patent examiner,2023-08-26,8.4
EMP01462,"Conservation officer, historic buildings",Chief of Staff,2023-04-20,6.9
EMP00691,"Radiographer, diagnostic",Holiday representative,2022-09-01,24.0
EMP05581,"Buyer, industrial",Cartographer,2022-05-20,8.5
EMP02422,"Social research officer, government",Field trials officer,2025-06-20,8.2
EMP09893,Hydrographic surveyor,Lobbyist,2023-05-01,17.3
EMP02913,"Surveyor, hydrographic",Medical physicist,2025-12-11,21.6
EMP04714,Building services engineer,"Journalist, newspaper",2025-03-14,13.8
EMP05315,Geochemist,"Production designer, theatre/television/film",2025-04-13,7.6
EMP09548,"Engineer, maintenance",Print production planner,2021-08-21,21.2
EMP06172,Warehouse manager,Special educational needs teacher,2023-01-06,21.1
EMP09915,Newspaper journalist,Chiropodist,2026-05-07,19.4
EMP04857,Conference centre manager,Education administrator,2022-01-17,12.8
EMP01495,Games developer,Research scientist (physical sciences),2024-04-18,18.2
EMP06716,Barrister's clerk,Actuary,2025-10-08,23.5
EMP04102,General practice doctor,Bookseller,2025-09-01,18.5
EMP01044,Chartered accountant,Writer,2025-08-31,10.6
EMP01742,"Surveyor, planning and development","Surveyor, building",2021-09-22,18.8
EMP06252,"Accountant, chartered public finance",Clinical psychologist,2022-08-25,14.7
EMP07303,Quarry manager,"Surveyor, commercial/residential",2024-03-22,21.7
EMP01652,Futures trader,Conference centre manager,2024-01-14,22.7
EMP06823,Operational investment banker,Minerals surveyor,2026-05-10,13.1
EMP04352,"Designer, jewellery",Tourist information centre manager,2021-10-06,20.7
EMP09110,Adult guidance worker,Psychotherapist,2022-07-13,23.1
EMP00883,Medical physicist,Aid worker,2025-11-17,9.0
EMP05659,"Surveyor, commercial/residential",TEFL teacher,2022-10-30,6.1
EMP06992,Airline pilot,Commercial art gallery manager,2024-10-10,13.8
EMP04650,Homeopath,"Scientist, research (life sciences)",2024-09-02,13.4
EMP03337,Agricultural consultant,Cartographer,2022-03-09,6.1
EMP06967,Forensic psychologist,"Therapist, nutritional",2023-01-11,18.7
EMP07215,Insurance claims handler,Early years teacher,2025-04-16,24.9
EMP02135,Purchasing manager,Pharmacologist,2022-09-13,5.8
EMP07064,Social worker,Sport and exercise psychologist,2024-07-11,22.8
EMP00426,Energy engineer,"Investment banker, corporate",2023-01-26,14.4
EMP08739,Database administrator,"Pilot, airline",2024-10-10,15.6
EMP05598,Product/process development scientist,Radio producer,2022-04-18,18.0
EMP06805,Hydrologist,"Journalist, broadcasting",2026-05-16,20.3
EMP03659,"Designer, multimedia",Scientific laboratory technician,2025-09-09,5.0
EMP06341,Ceramics designer,Glass blower/designer,2021-11-11,9.1
EMP08996,Animal nutritionist,Site engineer,2024-04-29,14.8
EMP09337,Airline pilot,Computer games developer,2023-01-09,16.4
EMP05404,"Engineer, civil (consulting)",Community pharmacist,2022-01-06,8.3
EMP05403,"Pharmacist, community","Nurse, learning disability",2023-02-14,11.9
EMP00670,Sports therapist,"Therapist, sports",2024-03-05,17.9
EMP04255,"Civil engineer, contracting",Nature conservation officer,2022-05-07,7.2
EMP08068,Radiation protection practitioner,Haematologist,2021-09-11,16.1
EMP04465,Health physicist,Public relations officer,2023-01-29,16.7
EMP08791,Occupational therapist,Minerals surveyor,2024-11-30,23.4
EMP04159,Best boy,"Conservation officer, nature",2023-03-26,5.2
EMP04501,Clinical biochemist,Dispensing optician,2022-01-18,16.6
EMP09634,Child psychotherapist,"Engineer, materials",2025-12-06,15.3
EMP00405,"Social research officer, government",Music therapist,2022-05-27,6.0
EMP08081,"Investment banker, operational",Research scientist (physical sciences),2025-03-14,15.9
EMP07667,"Scientist, biomedical",Theme park manager,2024-08-02,15.9
EMP03011,Marketing executive,Science writer,2023-04-06,8.3
EMP02652,Mining engineer,"Surveyor, hydrographic",2026-06-15,18.1
EMP00654,Charity officer,"Research officer, trade union",2024-05-30,5.9
EMP05029,Financial controller,IT trainer,2024-09-23,11.0
