requisition_id,job_title,department_id,status,time_to_fill_days
REQ00001,"Scientist, research (physical sciences)",D006,Closed,73
REQ00002,Chief Executive Officer,D009,On Hold,20
REQ00003,Insurance underwriter,D002,Closed,100
REQ00004,"Psychologist, forensic",D016,Closed,26
REQ00005,Occupational psychologist,D018,Closed,62
REQ00006,Dramatherapist,D001,Closed,95
REQ00007,Immigration officer,D014,Closed,45
REQ00008,Clinical psychologist,D014,Closed,67
REQ00009,"Education officer, community",D004,Closed,96
REQ00010,Environmental health practitioner,D001,Closed,58
REQ00011,Psychiatric nurse,D015,Closed,65
REQ00012,"Surveyor, insurance",D007,Closed,69
REQ00013,"Sales professional, IT",D002,Closed,27
REQ00014,Clinical psychologist,D018,Closed,111
REQ00015,Software engineer,D006,Closed,67
REQ00016,Risk manager,D018,Open,113
REQ00017,Police officer,D014,On Hold,73
REQ00018,Technical author,D015,Closed,43
REQ00019,Claims inspector/assessor,D005,Open,115
REQ00020,Mental health nurse,D006,Open,54
REQ00021,Site engineer,D017,Closed,112
REQ00022,Environmental health practitioner,D002,Closed,22
REQ00023,Field seismologist,D004,On Hold,99
REQ00024,Structural engineer,D010,Closed,50
REQ00025,Amenity horticulturist,D009,Closed,59
REQ00026,"Producer, radio",D010,Closed,19
REQ00027,Oceanographer,D011,Open,41
REQ00028,Production engineer,D011,Closed,45
REQ00029,Commercial/residential surveyor,D020,Closed,27
REQ00030,Media planner,D020,Closed,43
REQ00031,Environmental manager,D018,Closed,16
REQ00032,Training and development officer,D007,On Hold,111
REQ00033,Horticultural consultant,D019,Closed,69
REQ00034,Outdoor activities/education manager,D008,Open,28
REQ00035,Equality and diversity officer,D019,Open,61
REQ00036,Arts development officer,D011,Closed,45
REQ00037,"Teacher, music",D010,Closed,60
REQ00038,Advertising account planner,D005,Closed,85
REQ00039,"Designer, interior/spatial",D003,Open,65
REQ00040,Research scientist (maths),D005,Closed,16
REQ00041,Exercise physiologist,D002,On Hold,101
REQ00042,Editorial assistant,D013,Closed,86
REQ00043,Landscape architect,D020,Closed,32
REQ00044,Rural practice surveyor,D002,Closed,83
REQ00045,Equality and diversity officer,D014,Open,23
REQ00046,Operations geologist,D004,Closed,26
REQ00047,Biomedical engineer,D018,Closed,68
REQ00048,"Physicist, medical",D006,Closed,93
REQ00049,Child psychotherapist,D001,Closed,115
REQ00050,Forensic scientist,D012,Closed,116
REQ00051,Building surveyor,D019,Closed,23
REQ00052,Fast food restaurant manager,D002,Open,18
REQ00053,Customer service manager,D020,Closed,80
REQ00054,Environmental manager,D018,Open,20
REQ00055,"Designer, blown glass/stained glass",D008,Closed,51
REQ00056,Hotel manager,D015,On Hold,55
REQ00057,Broadcast presenter,D016,Closed,100
REQ00058,"Surveyor, minerals",D004,Closed,44
REQ00059,"Engineer, energy",D006,Closed,78
REQ00060,Furniture conservator/restorer,D003,Closed,78
REQ00061,Risk manager,D020,Closed,25
REQ00062,"Administrator, charities/voluntary organisations",D003,Closed,62
REQ00063,Chief Financial Officer,D012,Closed,107
REQ00064,Sports therapist,D007,Closed,77
REQ00065,Estate agent,D005,On Hold,104
REQ00066,Site engineer,D019,Closed,27
REQ00067,Veterinary surgeon,D016,Closed,100
REQ00068,Music tutor,D006,Closed,66
REQ00069,"Programmer, systems",D010,On Hold,97
REQ00070,Office manager,D013,Closed,73
REQ00071,Industrial/product designer,D002,Open,56
REQ00072,Printmaker,D011,Closed,87
REQ00073,Chiropractor,D013,Open,52
REQ00074,International aid/development worker,D018,Open,92
REQ00075,Media buyer,D011,Closed,32
REQ00076,Systems analyst,D014,Open,64
REQ00077,Public affairs consultant,D009,Closed,37
REQ00078,Psychiatric nurse,D005,Closed,54
REQ00079,Computer games developer,D020,Closed,80
REQ00080,Travel agency manager,D003,Closed,87
REQ00081,Hospital doctor,D014,Closed,95
REQ00082,Architectural technologist,D018,Closed,71
REQ00083,Communications engineer,D015,Closed,77
REQ00084,Travel agency manager,D013,Closed,90
REQ00085,"Sales professional, IT",D013,Closed,94
REQ00086,Chief of Staff,D003,On Hold,114
REQ00087,"Engineer, electronics",D013,Closed,72
REQ00088,Leisure centre manager,D002,Closed,17
REQ00089,Health service manager,D017,Open,107
REQ00090,"Nurse, adult",D009,On Hold,54
REQ00091,Politician's assistant,D001,Closed,109
REQ00092,Insurance claims handler,D012,On Hold,109
REQ00093,Pathologist,D013,Closed,87
REQ00094,"Administrator, education",D019,Closed,103
REQ00095,Fisheries officer,D009,Closed,113
REQ00096,Database administrator,D015,Closed,81
REQ00097,"Investment banker, corporate",D012,Open,105
REQ00098,Environmental manager,D010,Closed,60
REQ00099,"Engineer, automotive",D017,On Hold,69
REQ00100,Minerals surveyor,D007,On Hold,28
REQ00101,Audiological scientist,D018,Closed,28
REQ00102,Hospital pharmacist,D001,Open,65
REQ00103,Tax adviser,D002,On Hold,20
REQ00104,Public affairs consultant,D011,Closed,116
REQ00105,Health service manager,D005,Closed,107
REQ00106,Publishing copy,D011,Open,107
REQ00107,Animator,D015,Open,70
REQ00108,Aeronautical engineer,D013,Closed,25
REQ00109,Teaching laboratory technician,D005,Open,117
REQ00110,Toxicologist,D005,Closed,31
REQ00111,Publishing copy,D001,Closed,113
REQ00112,Armed forces operational officer,D011,Open,113
REQ00113,Press sub,D007,Closed,102
REQ00114,Physiotherapist,D003,Open,116
REQ00115,Network engineer,D005,Closed,119
REQ00116,"Scientist, biomedical",D005,Closed,112
REQ00117,Speech and language therapist,D019,Closed,106
REQ00118,General practice doctor,D004,Closed,22
REQ00119,"Scientist, research (maths)",D017,Closed,76
REQ00120,Energy manager,D013,Closed,72
REQ00121,"Sound technician, broadcasting/film/video",D005,Closed,93
REQ00122,Associate Professor,D006,Closed,101
REQ00123,"Accountant, chartered",D020,Closed,39
REQ00124,Special educational needs teacher,D014,Closed,84
REQ00125,"Embryologist, clinical",D002,Closed,27
REQ00126,Colour technologist,D013,Closed,78
REQ00127,Publishing copy,D013,Closed,68
REQ00128,Equities trader,D017,Open,82
REQ00129,"Conservator, furniture",D002,On Hold,86
REQ00130,Forensic psychologist,D020,Closed,36
REQ00131,Futures trader,D013,Closed,78
REQ00132,"Clinical scientist, histocompatibility and immunogenetics",D005,Closed,32
REQ00133,Retail buyer,D018,Closed,81
REQ00134,Systems analyst,D012,On Hold,67
REQ00135,"Nurse, learning disability",D007,Closed,73
REQ00136,Sales executive,D004,Closed,33
REQ00137,Mechanical engineer,D004,Closed,40
REQ00138,"Investment banker, corporate",D013,Open,118
REQ00139,Chief Executive Officer,D005,Closed,33
REQ00140,"Programmer, applications",D004,Closed,15
REQ00141,Psychotherapist,D020,Closed,20
REQ00142,Town planner,D009,Closed,106
REQ00143,Arts administrator,D003,Closed,21
REQ00144,Chartered certified accountant,D018,Open,51
REQ00145,Fast food restaurant manager,D008,Closed,63
REQ00146,Metallurgist,D007,Closed,26
REQ00147,"Research officer, government",D005,Open,58
REQ00148,"Buyer, industrial",D004,Closed,19
REQ00149,"Scientist, audiological",D005,Closed,33
REQ00150,"Scientist, research (physical sciences)",D014,Open,23
REQ00151,"Investment banker, operational",D002,On Hold,104
REQ00152,"Surveyor, land/geomatics",D011,Open,96
REQ00153,Physiotherapist,D001,Closed,63
REQ00154,Control and instrumentation engineer,D006,On Hold,95
REQ00155,Financial manager,D008,Closed,46
REQ00156,Horticultural consultant,D007,On Hold,57
REQ00157,Immigration officer,D014,Open,76
REQ00158,Cartographer,D001,Closed,25
REQ00159,"Accountant, chartered public finance",D010,Closed,118
REQ00160,Operational researcher,D008,Closed,49
REQ00161,"Production assistant, television",D012,Closed,94
REQ00162,Multimedia specialist,D012,Closed,71
REQ00163,"Engineer, biomedical",D012,Closed,103
REQ00164,Music tutor,D019,Closed,48
REQ00165,Chief Operating Officer,D020,Closed,70
REQ00166,Public affairs consultant,D007,Closed,74
REQ00167,Hotel manager,D018,Closed,43
REQ00168,Futures trader,D015,Closed,91
REQ00169,Chartered loss adjuster,D020,Open,20
REQ00170,Retail buyer,D012,Closed,97
REQ00171,Sport and exercise psychologist,D013,Closed,30
REQ00172,Management consultant,D014,Closed,32
