employee_id,salary,bonus,department_id,job_title,effective_date
EMP00001,114246.57,10465.98,D003,Ranger/warden,2025-10-12
EMP00002,113804.19,17539.92,D020,Cytogeneticist,2026-04-20
EMP00003,124142.34,15347.2,D003,Psychotherapist,2023-11-01
EMP00004,107606.11,11838.49,D016,Media planner,2026-06-16
EMP00005,95424.33,527.61,D003,Hydrographic surveyor,2026-05-01
EMP00006,138064.23,8431.28,D018,Health and safety adviser,2026-06-06
EMP00007,72169.06,10822.95,D007,Curator,2025-10-01
EMP00008,107079.09,14708.6,D017,Dietitian,2024-04-12
EMP00009,137956.9,26340.91,D001,"Accountant, chartered public finance",2026-05-25
EMP00010,87942.24,12206.22,D007,Plant breeder/geneticist,2024-01-03
EMP00011,96031.29,1534.75,D017,Camera operator,2026-06-27
EMP00012,88216.85,5834.76,D005,"Surveyor, building",2024-06-11
EMP00013,111630.75,3947.42,D016,Medical illustrator,2025-04-04
EMP00014,105679.18,19958.97,D017,Architect,2024-05-20
EMP00015,96704.81,8559.94,D006,Patent examiner,2024-10-27
EMP00016,96480.29,11510.94,D010,Training and development officer,2023-11-23
EMP00017,113101.28,9934.03,D017,"Doctor, hospital",2025-07-15
EMP00018,107777.13,8533.13,D020,"Therapist, nutritional",2025-05-17
EMP00019,78388.25,5404.76,D013,Software engineer,2024-03-16
EMP00020,120824.29,22157.26,D016,"Psychologist, sport and exercise",2024-11-07
EMP00021,124801.21,22892.27,D013,Exhibition designer,2025-12-10
EMP00022,82803.99,4386.69,D014,Secondary school teacher,2025-12-28
EMP00023,78299.43,9619.69,D006,Podiatrist,2024-01-08
EMP00024,141869.61,6268.39,D018,Health and safety adviser,2024-11-24
EMP00025,105375.18,18399.22,D001,Animal nutritionist,2025-09-07
EMP00026,152356.21,11674.68,D020,Biomedical engineer,2024-09-12
EMP00027,133692.36,15179.6,D017,Museum/gallery conservator,2024-06-30
EMP00028,80436.75,1769.12,D017,Quality manager,2024-01-30
EMP00029,122274.59,12505.77,D010,Counselling psychologist,2024-06-14
EMP00030,103685.32,9127.63,D020,Industrial/product designer,2023-10-11
EMP00031,112255.84,15992.16,D019,Patent examiner,2026-04-29
EMP00032,126839.68,18268.26,D019,Podiatrist,2024-05-20
EMP00033,60561.71,4985.24,D018,"Engineer, electrical",2025-01-24
EMP00034,117216.89,4839.34,D011,Television/film/video producer,2024-05-23
EMP00035,62367.94,6103.39,D002,Applications developer,2024-10-07
EMP00036,72552.68,5034.78,D006,Financial trader,2024-07-18
EMP00037,106238.44,16481.75,D007,"Designer, textile",2025-02-25
EMP00038,114651.92,12793.3,D019,Chartered loss adjuster,2025-03-21
EMP00039,162030.4,17280.93,D019,Furniture designer,2025-07-25
EMP00040,113451.05,17396.54,D012,Firefighter,2026-03-18
EMP00041,80339.85,4586.98,D014,Automotive engineer,2025-04-27
EMP00042,102097.02,14993.38,D014,"Engineer, biomedical",2023-11-14
EMP00043,98155.46,7174.2,D015,Chartered public finance accountant,2024-12-30
EMP00044,131541.9,26033.52,D015,Sport and exercise psychologist,2024-11-30
EMP00045,156139.69,11195.46,D014,Energy manager,2026-02-13
EMP00046,120211.89,22576.21,D015,Tax adviser,2023-12-04
EMP00047,153615.21,25873.32,D005,Field trials officer,2024-10-13
EMP00048,114876.75,21922.71,D011,Financial controller,2024-04-06
EMP00049,86753.2,14272.76,D001,Advertising account planner,2026-06-24
EMP00050,137709.92,18994.32,D011,Careers information officer,2026-06-20
EMP00051,90371.93,17468.07,D018,Clinical embryologist,2023-11-04
EMP00052,94760.09,10891.16,D009,Clinical research associate,2024-12-07
EMP00053,53793.0,2451.84,D009,Rural practice surveyor,2026-01-06
EMP00054,133233.17,10388.35,D020,General practice doctor,2025-10-31
EMP00055,133928.05,17020.91,D004,Advertising art director,2026-06-05
EMP00056,74901.14,2377.55,D008,Oncologist,2025-11-18
EMP00057,132092.87,14832.23,D015,Manufacturing systems engineer,2025-06-18
EMP00058,83749.27,3599.65,D018,Food technologist,2025-11-12
EMP00059,119815.72,5148.84,D011,Retail banker,2024-04-18
EMP00060,166081.41,6021.96,D018,Ship broker,2023-12-10
EMP00061,94524.26,1450.93,D006,Jewellery designer,2024-09-30
EMP00062,65032.54,11937.7,D006,Lobbyist,2024-08-01
EMP00063,65381.48,11508.69,D018,"Scientist, research (medical)",2024-07-28
EMP00064,100862.31,12320.73,D002,Research scientist (physical sciences),2023-08-19
EMP00065,110503.86,11165.5,D010,IT consultant,2024-01-08
EMP00066,90156.18,4283.29,D019,Meteorologist,2024-05-12
EMP00067,121525.56,2123.61,D001,Contracting civil engineer,2024-09-12
EMP00068,130336.89,15200.21,D004,Horticultural consultant,2024-12-05
EMP00069,125946.33,24323.39,D019,Market researcher,2024-01-10
EMP00070,96198.09,13462.07,D010,"Designer, exhibition/display",2026-08-03
EMP00071,48609.87,9156.29,D007,"Teacher, early years/pre",2024-10-08
EMP00072,103900.36,8043.18,D002,"Nurse, learning disability",2024-04-01
EMP00073,77460.78,4166.76,D017,Civil Service administrator,2025-05-20
EMP00074,74550.23,12706.39,D010,Lobbyist,2024-02-16
EMP00075,107839.17,4371.68,D001,Cabin crew,2024-08-10
EMP00076,111141.93,4260.27,D016,Health and safety inspector,2023-09-09
EMP00077,131532.72,24732.3,D005,"Engineer, automotive",2024-08-03
EMP00078,67406.47,12651.77,D020,Paramedic,2025-06-29
EMP00079,110254.37,21219.53,D011,Transport planner,2024-11-03
EMP00080,40000.0,2349.46,D001,"Programmer, systems",2023-09-21
EMP00081,104794.73,20128.44,D007,Forensic scientist,2025-08-08
EMP00082,115144.22,12702.71,D011,Logistics and distribution manager,2024-08-16
