source_skill_id,target_skill_id,relationship_type
SK0037,SK0007,Alternative
SK0176,SK0269,Alternative
SK0284,SK0004,Related
SK0081,SK0138,Advanced
SK0114,SK0231,Alternative
SK0040,SK0088,Related
SK0224,SK0017,Advanced
SK0115,SK0052,Advanced
SK0186,SK0134,Alternative
SK0056,SK0211,Related
SK0040,SK0219,Advanced
SK0040,SK0205,Advanced
SK0237,SK0211,Prerequisite
SK0289,SK0277,Prerequisite
SK0262,SK0024,Alternative
SK0216,SK0004,Prerequisite
SK0147,SK0152,Related
SK0168,SK0259,Alternative
SK0092,SK0168,Alternative
SK0059,SK0176,Prerequisite
SK0059,SK0291,Advanced
SK0169,SK0056,Related
SK0269,SK0108,Related
SK0045,SK0296,Related
SK0181,SK0141,Alternative
SK0170,SK0155,Related
SK0191,SK0262,Advanced
SK0155,SK0273,Advanced
SK0188,SK0232,Prerequisite
SK0007,SK0241,Related
SK0133,SK0258,Alternative
SK0235,SK0249,Prerequisite
SK0045,SK0077,Advanced
SK0249,SK0180,Related
SK0031,SK0066,Advanced
SK0023,SK0171,Prerequisite
SK0160,SK0022,Advanced
SK0158,SK0107,Related
SK0039,SK0227,Related
SK0082,SK0216,Prerequisite
SK0258,SK0069,Related
SK0206,SK0084,Advanced
SK0077,SK0103,Advanced
SK0012,SK0039,Alternative
SK0295,SK0013,Alternative
SK0224,SK0297,Alternative
SK0013,SK0181,Advanced
SK0046,SK0268,Advanced
SK0155,SK0013,Prerequisite
SK0113,SK0120,Alternative
SK0233,SK0057,Advanced
SK0017,SK0040,Prerequisite
SK0223,SK0128,Advanced
SK0188,SK0173,Prerequisite
SK0163,SK0035,Alternative
SK0074,SK0259,Alternative
SK0233,SK0005,Alternative
SK0224,SK0218,Advanced
SK0060,SK0011,Advanced
SK0222,SK0117,Prerequisite
SK0037,SK0184,Related
SK0278,SK0116,Related
SK0196,SK0162,Alternative
SK0242,SK0067,Related
SK0219,SK0200,Alternative
SK0192,SK0031,Prerequisite
SK0017,SK0075,Related
SK0012,SK0237,Related
SK0193,SK0066,Alternative
SK0022,SK0070,Prerequisite
SK0120,SK0297,Related
SK0210,SK0020,Related
SK0270,SK0226,Related
SK0192,SK0199,Prerequisite
SK0175,SK0039,Prerequisite
SK0285,SK0145,Related
SK0204,SK0045,Alternative
SK0164,SK0091,Alternative
SK0251,SK0238,Related
SK0227,SK0070,Prerequisite
SK0007,SK0166,Related
SK0029,SK0130,Prerequisite
SK0033,SK0214,Related
SK0134,SK0089,Prerequisite
SK0079,SK0252,Advanced
SK0058,SK0072,Alternative
SK0026,SK0165,Advanced
SK0226,SK0049,Alternative
SK0285,SK0052,Prerequisite
SK0004,SK0289,Advanced
SK0099,SK0278,Alternative
SK0039,SK0114,Related
SK0271,SK0239,Prerequisite
SK0285,SK0133,Prerequisite
SK0157,SK0274,Related
SK0075,SK0166,Related
SK0288,SK0293,Alternative
SK0130,SK0243,Prerequisite
SK0175,SK0138,Alternative
SK0084,SK0079,Related
SK0022,SK0170,Prerequisite
SK0027,SK0123,Related
SK0195,SK0176,Alternative
SK0236,SK0300,Alternative
SK0092,SK0082,Alternative
SK0021,SK0087,Prerequisite
SK0084,SK0225,Related
SK0262,SK0016,Related
SK0147,SK0163,Alternative
SK0257,SK0098,Alternative
SK0058,SK0156,Alternative
SK0015,SK0002,Alternative
SK0162,SK0169,Advanced
SK0163,SK0092,Advanced
SK0281,SK0181,Advanced
SK0280,SK0231,Alternative
SK0012,SK0148,Alternative
SK0274,SK0280,Related
SK0271,SK0189,Prerequisite
SK0208,SK0128,Related
SK0027,SK0007,Advanced
SK0072,SK0047,Related
SK0060,SK0053,Alternative
SK0145,SK0187,Advanced
SK0093,SK0038,Advanced
SK0008,SK0226,Prerequisite
SK0079,SK0053,Prerequisite
SK0027,SK0224,Advanced
SK0174,SK0154,Advanced
SK0050,SK0048,Related
SK0199,SK0147,Advanced
SK0181,SK0064,Alternative
SK0024,SK0182,Related
SK0046,SK0125,Alternative
SK0015,SK0179,Alternative
SK0153,SK0039,Alternative
SK0222,SK0260,Advanced
SK0206,SK0003,Prerequisite
SK0273,SK0064,Prerequisite
