skill_id,category,subcategory
SK0001,Leadership,Involve
SK0002,Tools,Wrong
SK0003,Domain Expertise,Far
SK0004,Tools,Alone
SK0005,Tools,Road
SK0006,Soft Skill,Hospital
SK0007,Domain Expertise,Director
SK0008,Domain Expertise,Life
SK0009,Domain Expertise,Light
SK0010,Tools,Eat
SK0011,Leadership,Top
SK0012,Domain Expertise,Him
SK0013,Tools,Bit
SK0014,Soft Skill,Rich
SK0015,Leadership,Hold
SK0016,Soft Skill,Off
SK0017,Leadership,Week
SK0018,Tools,Quite
SK0019,Technical,Her
SK0020,Leadership,Ask
SK0021,Soft Skill,Information
SK0022,Tools,Fact
SK0023,Leadership,Customer
SK0024,Technical,Can
SK0025,Technical,Thus
SK0026,Domain Expertise,Than
SK0027,Domain Expertise,Look
SK0028,Soft Skill,Benefit
SK0029,Leadership,Recognize
SK0030,Leadership,Difference
SK0031,Domain Expertise,Quality
SK0032,Leadership,Purpose
SK0033,Leadership,Picture
SK0034,Technical,Against
SK0035,Domain Expertise,Apply
SK0036,Tools,Stop
SK0037,Domain Expertise,Goal
SK0038,Tools,Either
SK0039,Technical,Car
SK0040,Soft Skill,Stop
SK0041,Leadership,Other
SK0042,Technical,Describe
SK0043,Leadership,Authority
SK0044,Soft Skill,Themselves
SK0045,Soft Skill,Southern
SK0046,Technical,Once
SK0047,Soft Skill,Despite
SK0048,Tools,Peace
SK0049,Soft Skill,Direction
SK0050,Leadership,Tax
SK0051,Leadership,True
SK0052,Leadership,Early
SK0053,Leadership,Get
SK0054,Tools,Staff
SK0055,Domain Expertise,Choose
SK0056,Technical,Story
SK0057,Leadership,Wear
SK0058,Soft Skill,Pick
SK0059,Leadership,Able
SK0060,Soft Skill,Factor
SK0061,Soft Skill,Town
SK0062,Leadership,Check
SK0063,Tools,Case
SK0064,Soft Skill,Now
SK0065,Soft Skill,Enough
SK0066,Leadership,Success
SK0067,Soft Skill,Contain
SK0068,Soft Skill,Break
SK0069,Leadership,Recent
SK0070,Leadership,Trial
SK0071,Technical,Agree
SK0072,Tools,Catch
SK0073,Tools,Administration
SK0074,Soft Skill,Help
SK0075,Tools,Strategy
SK0076,Soft Skill,Story
SK0077,Technical,Economy
SK0078,Leadership,Per
SK0079,Leadership,Game
SK0080,Leadership,Admit
SK0081,Tools,Contain
SK0082,Technical,Evidence
SK0083,Tools,Area
SK0084,Tools,Card
SK0085,Technical,Site
SK0086,Technical,Know
SK0087,Technical,Never
SK0088,Technical,Build
SK0089,Leadership,Skill
SK0090,Domain Expertise,Attack
SK0091,Domain Expertise,Maybe
SK0092,Technical,List
SK0093,Domain Expertise,Star
SK0094,Domain Expertise,High
SK0095,Technical,Must
SK0096,Domain Expertise,Personal
SK0097,Tools,Boy
SK0098,Soft Skill,Live
SK0099,Soft Skill,Most
SK0100,Technical,Do
SK0101,Leadership,Young
SK0102,Technical,Possible
SK0103,Leadership,Animal
SK0104,Soft Skill,Short
SK0105,Technical,Step
SK0106,Tools,When
SK0107,Domain Expertise,Trial
SK0108,Leadership,Reason
SK0109,Domain Expertise,Near
SK0110,Domain Expertise,Fish
SK0111,Technical,Low
SK0112,Domain Expertise,Question
SK0113,Tools,Allow
SK0114,Domain Expertise,Ask
SK0115,Technical,Measure
SK0116,Tools,Throw
SK0117,Soft Skill,Interest
SK0118,Domain Expertise,Last
SK0119,Technical,Rich
SK0120,Soft Skill,Box
SK0121,Soft Skill,Military
SK0122,Leadership,Seem
SK0123,Tools,Where
SK0124,Domain Expertise,Life
SK0125,Technical,Back
SK0126,Leadership,Way
SK0127,Tools,Be
SK0128,Leadership,Fund
SK0129,Tools,Political
SK0130,Tools,Choose
SK0131,Domain Expertise,Attorney
SK0132,Tools,Card
SK0133,Leadership,Face
SK0134,Tools,Probably
SK0135,Domain Expertise,Property
SK0136,Domain Expertise,Pay
SK0137,Leadership,Official
SK0138,Soft Skill,Seem
SK0139,Soft Skill,Garden
SK0140,Tools,I
SK0141,Technical,Picture
SK0142,Tools,Nice
SK0143,Leadership,Financial
SK0144,Leadership,Long
SK0145,Leadership,Mouth
SK0146,Leadership,Point
SK0147,Leadership,Law
SK0148,Domain Expertise,Bit
SK0149,Soft Skill,Student
SK0150,Leadership,Science
SK0151,Technical,Building
SK0152,Technical,Tonight
SK0153,Technical,Real
SK0154,Technical,Rather
SK0155,Domain Expertise,Understand
SK0156,Technical,Specific
SK0157,Leadership,Ok
SK0158,Tools,Set
SK0159,Technical,Tree
SK0160,Domain Expertise,Dinner
SK0161,Domain Expertise,Law
