skill_id,skill_name,category,forecast_2027,forecast_2028,forecast_2029,forecast_2030,forecast_2031,forecast_2032,forecast_2033,forecast_2034,forecast_2035,forecast_2036
SK0001,"Surveyor, Markets",Leadership,80,57,53,100,45,30,100,57,100,52
SK0002,Estate Vortals,Tools,66,82,100,54,63,100,42,95,46,100
SK0003,Oncologist E-tailers,Domain Expertise,91,52,34,72,56,37,53,0,5,8
SK0004,Tax E-tailers,Tools,63,59,62,60,33,57,60,63,100,100
SK0005,Restaurant Eyeballs,Tools,58,82,75,87,69,100,35,76,100,21
SK0006,Geochemist Schemas,Soft Skill,90,34,12,86,65,82,100,61,81,0
SK0007,Solicitor Applications,Domain Expertise,42,63,82,63,36,100,80,100,49,76
SK0008,Oceanographer Channels,Domain Expertise,100,67,33,63,55,55,70,23,69,89
SK0009,Sales Markets,Domain Expertise,57,35,88,56,83,44,65,100,100,75
SK0010,Clinical Methodologies,Tools,49,100,64,87,52,98,100,75,49,100
SK0011,"Pharmacist, Architectures",Leadership,82,30,51,61,1,25,59,100,24,0
SK0012,Museum/gallery Deliverables,Domain Expertise,47,94,88,53,32,34,59,100,89,87
SK0013,Food Methodologies,Tools,100,57,100,19,100,2,52,60,86,100
SK0014,Colour Experiences,Soft Skill,39,60,74,65,100,68,45,17,89,70
SK0015,"Librarian, E-commerce",Leadership,45,73,64,100,77,49,35,72,100,18
SK0016,"Designer, Portals",Soft Skill,37,100,36,84,100,100,42,37,100,9
SK0017,Restaurant Mindshare,Leadership,44,100,37,77,60,63,80,46,1,64
SK0018,Claims Functionalities,Tools,100,94,47,23,93,100,34,43,100,100
SK0019,"Runner, Eyeballs",Technical,83,71,76,77,95,97,100,41,100,100
SK0020,Midwife Users,Leadership,78,100,100,88,16,76,73,100,100,100
SK0021,Set Metrics,Soft Skill,44,85,95,100,98,40,100,71,53,100
SK0022,Jewellery Initiatives,Tools,33,91,92,100,58,100,100,5,100,100
SK0023,Medical Action-items,Leadership,96,48,100,43,100,55,23,100,41,63
